## Type: detector
## Name: QE Edivent SilVIR blue shifted detector
wavelength,qe
401,0.456404689
402,0.457370543
403,0.459637097
404,0.461073565
405,0.461238776
406,0.462713745
407,0.464141306
408,0.464265615
409,0.465783698
410,0.467836111
411,0.46892014
412,0.470065312
413,0.471076832
414,0.472060213
415,0.473163432
416,0.47440528
417,0.474483411
418,0.474928451
419,0.475745125
420,0.476968897
421,0.478079303
422,0.479100781
423,0.480236695
424,0.481187472
425,0.481248893
426,0.481775158
427,0.482873866
428,0.483931528
429,0.484673748
430,0.484859598
431,0.486294007
432,0.487845837
433,0.488020938
434,0.48870619
435,0.48999721
436,0.490904737
437,0.491433333
438,0.491554405
439,0.492495324
440,0.493570581
441,0.494633522
442,0.494791321
443,0.495235977
444,0.496075817
445,0.497296365
446,0.498240687
447,0.498228518
448,0.498887286
449,0.499827005
450,0.501104457
451,0.501701156
452,0.501537072
453,0.502590934
454,0.503304371
455,0.503288796
456,0.503293356
457,0.503290935
458,0.503291611
459,0.503291428
460,0.503291473
461,0.503291463
462,0.503291464
463,0.503291464
464,0.503291464
465,0.503291464
466,0.503291465
467,0.503291464
468,0.503291467
469,0.503291454
470,0.503291502
471,0.503291382
472,0.50329102
473,0.503292917
474,0.50327514
475,0.503361549
476,0.502836137
477,0.501728037
478,0.501604198
479,0.501237843
480,0.50006408
481,0.499904216
482,0.499906643
483,0.499854324
484,0.499157708
485,0.498344659
486,0.498251566
487,0.497691133
488,0.496652902
489,0.496521748
490,0.49602426
491,0.495151453
492,0.49482636
493,0.494621923
494,0.49330626
495,0.492286436
496,0.491229711
497,0.490314649
498,0.48907134
499,0.487975944
500,0.485781976
501,0.484648171
502,0.484285504
503,0.482898887
504,0.480660535
505,0.478126798
506,0.4778635
507,0.477082913
508,0.475457729
509,0.473005632
510,0.47096066
511,0.471307592
512,0.470063088
513,0.467507324
514,0.465644287
515,0.464346774
516,0.464382681
517,0.462458897
518,0.460447965
519,0.459719056
520,0.458922174
521,0.460626395
522,0.457626287
523,0.455357342
524,0.452755936
525,0.450015662
526,0.447330108
527,0.444892864
528,0.442897522
529,0.442462426
530,0.440674806
531,0.440660924
532,0.440065178
533,0.437922706
534,0.435747951
535,0.433674603
536,0.432603485
537,0.431476548
538,0.430482596
539,0.428287171
540,0.426149073
541,0.423957291
542,0.422666198
543,0.421625016
544,0.420693677
545,0.418683203
546,0.416478979
547,0.414437674
548,0.413415631
549,0.412985858
550,0.411503229
551,0.409164704
552,0.406779215
553,0.406711715
554,0.40571809
555,0.403769083
556,0.401676158
557,0.399665759
558,0.397014044
559,0.396501786
560,0.395953457
561,0.39433434
562,0.39196733
563,0.389780812
564,0.389876435
565,0.389196402
566,0.387264128
567,0.385132616
568,0.383279817
569,0.382180044
570,0.380516187
571,0.379652464
572,0.378223485
573,0.375990967
574,0.373747734
575,0.372719271
576,0.372444783
577,0.370868574
578,0.368640717
579,0.366358171
580,0.36424236
581,0.36263258
582,0.362514884
583,0.361178537
584,0.359177857
585,0.356642221
586,0.355219696
587,0.354005119
588,0.353070526
589,0.351441336
590,0.349617972
591,0.347033299
592,0.345623133
593,0.345499404
594,0.344039805
595,0.341800505
596,0.339975023
597,0.337566946
598,0.335488361
599,0.33551847
600,0.334305164
601,0.332468922
602,0.330034179
603,0.327883523
604,0.325597879
605,0.325345356
606,0.324500254
607,0.322875607
608,0.320432012
609,0.318243336
610,0.31619246
611,0.315120253
612,0.3147436
613,0.31318916
614,0.310860106
615,0.308611183
616,0.3064866
617,0.304491304
618,0.30351459
619,0.301729697
620,0.299975521
621,0.298678738
622,0.296949278
623,0.294380529
624,0.292532877
625,0.290905089
626,0.289963821
627,0.288743958
628,0.287344243
629,0.28485238
630,0.282885768
631,0.281165088
632,0.279869795
633,0.27887646
634,0.277242935
635,0.275457261
636,0.273245134
637,0.271492003
638,0.269955991
639,0.269015219
640,0.267497002
641,0.265808137
642,0.263601053
643,0.261769071
644,0.260133875
645,0.259096293
646,0.257842522
647,0.256115928
648,0.254002751
649,0.251978408
650,0.250886849
651,0.25085044
652,0.248744747
653,0.246332628
654,0.244703184
655,0.244058326
656,0.243580981
657,0.241301008
