## Type: detector
## Name: QE Edivent SilVIR red shifted detector
wavelength,qe
401,0.186423223
402,0.18633935
403,0.187243094
404,0.189462385
405,0.19159927
406,0.194057546
407,0.195742421
408,0.196587838
409,0.197075732
410,0.199042871
411,0.20123739
412,0.203188679
413,0.203339762
414,0.204390726
415,0.206078213
416,0.206749478
417,0.207011946
418,0.208200157
419,0.208428952
420,0.208673153
421,0.209750456
422,0.210825443
423,0.211853239
424,0.211817438
425,0.211825749
426,0.211830365
427,0.211775594
428,0.212136189
429,0.213467328
430,0.214441493
431,0.215524669
432,0.216447838
433,0.218461558
434,0.220533811
435,0.221569547
436,0.222691913
437,0.223961626
438,0.225635976
439,0.227996842
440,0.230227135
441,0.232407897
442,0.234349699
443,0.23538424
444,0.237150256
445,0.238874171
446,0.240331097
447,0.241157598
448,0.244193247
449,0.250036319
450,0.254751711
451,0.255849371
452,0.256868857
453,0.258324758
454,0.260817045
455,0.262713052
456,0.26507149
457,0.268621837
458,0.270952399
459,0.273436435
460,0.275276831
461,0.277490985
462,0.27946387
463,0.283052268
464,0.285678356
465,0.288294036
466,0.291066009
467,0.293441805
468,0.29448149
469,0.297088433
470,0.299859903
471,0.302571206
472,0.304710758
473,0.307730644
474,0.312130003
475,0.315500593
476,0.316821753
477,0.318947827
478,0.321341962
479,0.32303594
480,0.325442124
481,0.327910554
482,0.331215865
483,0.333688097
484,0.336323524
485,0.338574638
486,0.34152891
487,0.344052155
488,0.3462574
489,0.348633328
490,0.350683176
491,0.353539506
492,0.356723186
493,0.360341455
494,0.362611802
495,0.365080976
496,0.366958977
497,0.369817751
498,0.372284683
499,0.37412367
500,0.377421065
501,0.38178113
502,0.383908703
503,0.386105774
504,0.38848319
505,0.39146168
506,0.395833701
507,0.398773716
508,0.401143786
509,0.403955469
510,0.407043977
511,0.410019489
512,0.412958741
513,0.415120674
514,0.419428839
515,0.423239505
516,0.424982469
517,0.426975836
518,0.429899914
519,0.434632894
520,0.436349743
521,0.438191817
522,0.440687329
523,0.4436197
524,0.445741191
525,0.445287
526,0.447905485
527,0.453952393
528,0.457107514
529,0.459478584
530,0.460695121
531,0.462641755
532,0.464694148
533,0.465547858
534,0.466050023
535,0.466014564
536,0.465940482
537,0.466562024
538,0.467286288
539,0.466644474
540,0.466038759
541,0.466022069
542,0.465990875
543,0.466268959
544,0.467353764
545,0.466805536
546,0.466788934
547,0.468308685
548,0.469346065
549,0.469420803
550,0.470528427
551,0.47170472
552,0.472515463
553,0.472765279
554,0.473076421
555,0.474341384
556,0.474491464
557,0.47487828
558,0.475689276
559,0.476901394
560,0.477995383
561,0.479027278
562,0.479607946
563,0.47976687
564,0.480532
565,0.481674831
566,0.482815097
567,0.483870055
568,0.484663559
569,0.484728136
570,0.48537716
571,0.486428406
572,0.487626177
573,0.488694978
