## Type: dye
## Name: Alexa-790
Extinction coefficient: 260000
Quantum Yield: 0.04
#QY number gained from https://doi.org/10.1063/5.0082187
wavelength,absorption,emission
400,0.048581399,0
401,0.047541998,0
402,0.046536598,0
403,0.045497101,0
404,0.0446111,0
405,0.043844301,0
406,0.043111499,0
407,0.042481001,0
408,0.042072099,0
409,0.041526798,0
410,0.041168999,0
411,0.040811099,0
412,0.040777002,0
413,0.040334001,0
414,0.040436201,0
415,0.040061299,0
416,0.039805699,0
417,0.039737601,0
418,0.039737601,0
419,0.0397035,0
420,0.039533101,0
421,0.039226402,0
422,0.038732201,0
423,0.0388515,0
424,0.038732201,0
425,0.038323302,0
426,0.038050599,0
427,0.0376416,0
428,0.037760898,0
429,0.0375905,0
430,0.036806699,0
431,0.0366363,0
432,0.036653299,0
433,0.036448799,0
434,0.036363602,0
435,0.036074001,0
436,0.035733201,0
437,0.035545699,0
438,0.035204899,0
439,0.035665002,0
440,0.035204899,0
441,0.035307098,0
442,0.035051499,0
443,0.035375301,0
444,0.0351367,0
445,0.0349834,0
446,0.0351367,0
447,0.0344892,0
448,0.0344892,0
449,0.0341314,0
450,0.033756498,0
451,0.033160102,0
452,0.032648899,0
453,0.0316776,0
454,0.030859699,0
455,0.030144,0
456,0.029360101,0
457,0.0285763,0
458,0.027588001,0
459,0.0267871,0
460,0.025747599,0
461,0.0248615,0
462,0.0239584,0
463,0.0230383,0
464,0.022288499,0
465,0.021317201,0
466,0.020891201,0
467,0.0200222,0
468,0.019391701,0
469,0.018676,0
470,0.018335201,0
471,0.0175173,0
472,0.017398,0
473,0.016631201,0
474,0.0166141,0
475,0.015949599,0
476,0.015692299,0
477,0.0156241,0
478,0.0151129,0
479,0.0151657,0
480,0.0146545,0
481,0.0143819,0
482,0.014312,0
483,0.0140751,0
484,0.0137326,0
485,0.0136151,0
486,0.0131891,0
487,0.0132913,0
488,0.0133748,0
489,0.0127971,0
490,0.0126779,0
491,0.0127971,0
492,0.0122689,0
493,0.0120815,0
494,0.0122007,0
495,0.0120644,0
496,0.0117236,0
497,0.0116043,0
498,0.0113487,0
499,0.0113828,0
500,0.011025,0
501,0.0111442,0
502,0.0109227,0
503,0.0107694,0
504,0.0107864,0
505,0.0104456,0
506,0.010599,0
507,0.0105308,0
508,0.010599,0
509,0.0106842,0
510,0.0104456,0
511,0.0103945,0
512,0.010173,0
513,0.0102241,0
514,0.0102752,0
515,0.0103093,0
516,0.0102582,0
517,0.0102241,0
518,0.0102582,0
519,0.0103263,0
520,0.0103604,0
521,0.0104797,0
522,0.0103434,0
523,0.0106842,0
524,0.0108034,0
525,0.0107012,0
526,0.0107694,0
527,0.0107864,0
528,0.0108886,0
529,0.011042,0
530,0.0110761,0
531,0.0111272,0
532,0.0111783,0
533,0.0114169,0
534,0.0115021,0
535,0.0113828,0
536,0.0115021,0
537,0.0117747,0
538,0.0118599,0
539,0.0119792,0
540,0.0118429,0
541,0.0120815,0
542,0.0124393,0
543,0.0128142,0
544,0.0126097,0
545,0.0130016,0
546,0.0131209,0
547,0.0133254,0
548,0.0133748,0
549,0.0137173,0
550,0.0138025,0
551,0.0139542,0
552,0.0141603,0
553,0.014433,0
554,0.0145693,0
555,0.0149101,0
556,0.0150635,0
557,0.0154213,0
558,0.0156599,0
559,0.0162904,0
560,0.016580001,0
561,0.016493101,0
562,0.017108301,0
563,0.0171765,0
564,0.017841,0
565,0.0179433,0
566,0.0184374,0
567,0.018539701,0
568,0.0187953,0
569,0.019391701,0
570,0.019545,0
571,0.019885801,0
572,0.0203289,0
573,0.0207719,0
574,0.0209764,0
575,0.0218114,0
576,0.0218454,0
577,0.0224759,0
578,0.022918999,0
579,0.0232087,0
580,0.023873201,0
581,0.023975501,0
582,0.0249127,0
583,0.025032001,0
584,0.0255091,0
585,0.0262929,0
586,0.026548499,0
587,0.0270427,0
588,0.027434601,0
589,0.028354799,0
590,0.0286445,0
591,0.0290023,0
592,0.029309001,0
593,0.030161001,0
594,0.0307745,0
595,0.031404998,0
596,0.031865001,0
597,0.032290999,0
598,0.0331771,0
599,0.0337395,0
600,0.034574401,0
601,0.035273101,0
602,0.035767201,0
603,0.0366363,0
604,0.037317902,0
605,0.038101699,0
606,0.0387493,0
607,0.0397035,0
608,0.040487301,0
609,0.041492701,0
610,0.042055,0
611,0.0430604,0
612,0.043997601,0
613,0.0454119,0
614,0.046229899,0
615,0.047047801,0
616,0.048240598,0
617,0.049637899,0
618,0.050796598,0
619,0.051682699,0
620,0.053148199,0
621,0.054358002,0
622,0.055516701,0
623,0.0570333,0
624,0.058362398,0
625,0.059776802,0
626,0.061191101,0
627,0.062775798,0
628,0.0641561,0
629,0.065519303,0
630,0.067018799,0
631,0.068347998,0
632,0.070086099,0
633,0.071466297,0
634,0.073238499,0
635,0.074772097,0
636,0.0762375,0
637,0.077975601,0
638,0.079338796,0
639,0.081264399,0
640,0.082934298,0
641,0.084229402,0
642,0.085899301,0
643,0.087807797,0
644,0.0893244,0
645,0.091096498,0
646,0.092919797,0
647,0.094487503,0
648,0.096174501,0
649,0.098031901,0
650,0.099735901,0
651,0.101576,0
652,0.103468001,0
653,0.105172001,0
654,0.106876001,0
655,0.108716004,0
656,0.110284001,0
657,0.112668999,0
658,0.114423998,0
659,0.116434999,0
660,0.118293002,0
661,0.120474003,0
662,0.122654997,0
663,0.124766,0
664,0.126895994,0
665,0.129352003,0
666,0.132111996,0
667,0.134498,0
668,0.137205005,0
669,0.139967993,0
670,0.142812997,0
671,0.146170005,0
672,0.148726001,0
673,0.151947007,0
674,0.155319005,0
675,0.158779994,0
676,0.162512004,0
677,0.166397005,0
678,0.170213997,0
679,0.174764007,0
680,0.178886995,0
681,0.183556005,0
682,0.187849998,0
683,0.192774996,0
684,0.197802007,0
685,0.202760994,0
686,0.207890004,0
687,0.213120997,0
688,0.218522996,0
689,0.224043995,0
690,0.229769006,0
691,0.235085994,0
692,0.241016001,0
693,0.246588007,0
694,0.252824008,0
695,0.25878799,0
696,0.264378011,0
697,0.270563006,0
698,0.276356995,0
699,0.282303989,0
700,0.288183004,0
701,0.293976009,0
702,0.299600005,0
703,0.305222988,0
704,0.310606986,0
705,0.316026002,0
706,0.321258008,0
707,0.326113999,0
708,0.330936015,0
709,0.335622013,0
710,0.339917004,0
711,0.344211012,0
712,0.348010987,0
713,0.35194701,0
714,0.355167001,0
715,0.358473003,0
716,0.361575007,0
717,0.364216,0
718,0.366890997,0
719,0.368867993,0
720,0.371151,0
721,0.373127997,0
722,0.374677986,0
723,0.376552999,0
724,0.378035009,0
725,0.379159987,0
726,0.380914986,0
727,0.382243991,0
728,0.383453995,0
729,0.384817004,0
730,0.386299998,0
731,0.387970001,0
732,0.389827013,0
733,0.392196,0
734,0.39458099,0
735,0.39705199,0
736,0.399625003,0
737,0.403663993,0
738,0.407873005,0
739,0.411962003,0
740,0.417192996,0
741,0.422749013,0
742,0.429291993,0
743,0.43612501,0
744,0.443639994,0
745,0.451972008,0
746,0.461174011,0
747,0.470768005,0
748,0.481604993,0
749,0.493328989,0
750,0.505120993,0.0307709
751,0.518155992,0.0359281
752,0.532283008,0.0391059
753,0.547192991,0.043796599
754,0.562408984,0.049708001
755,0.578477979,0.055004898
756,0.595279992,0.0583179
757,0.613053024,0.062524199
758,0.631200016,0.0694196
759,0.650472999,0.077061303
760,0.669983983,0.084354401
761,0.689562976,0.092115797
762,0.710027993,0.102937996
763,0.730526984,0.114895999
764,0.751725018,0.125938997
765,0.772343993,0.136261001
766,0.793251991,0.148339003
767,0.813615024,0.162021995
768,0.834573984,0.177056
769,0.853693008,0.191731006
770,0.872897983,0.207803994
771,0.891453981,0.222512007
772,0.908631027,0.240391001
773,0.924971998,0.257533997
