## Type: dye
## Name: BODIPY TR Ceremide 
Extinction coefficient: 
Quantum Yield: 
wavelength,absorption,emission
300,27.19503,0
301,27.47993,0
302,27.58353,0
303,27.76483,0
304,27.94613,0
305,28.04973,0
306,28.20513,0
307,28.41233,0
308,28.56773,0
309,28.74903,0
310,28.87853,0
311,28.90443,0
312,28.95623,0
313,28.90443,0
314,28.82673,0
315,28.61953,0
316,28.25693,0
317,27.86843,0
318,27.37633,0
319,26.62523,0
320,26.02953,0
321,25.30433,0
322,24.42373,0
323,23.69852,0
324,22.89562,0
325,22.04092,0
326,21.47112,0
327,20.82362,0
328,20.12432,0
329,19.60632,0
330,19.14012,0
331,18.57032,0
332,18.15592,0
333,17.79332,0
334,17.30122,0
335,16.96452,0
336,16.67962,0
337,16.34292,0
338,16.08392,0
339,15.90262,0
340,15.64362,0
341,15.48822,0
342,15.35872,0
343,15.20331,0
344,15.09972,0
345,14.97021,0
346,14.73711,0
347,14.52991,0
348,14.34861,0
349,14.06371,0
350,13.88241,0
351,13.75291,0
352,13.51981,0
353,13.33851,0
354,13.15721,0
355,13.02771,0
356,12.87231,0
357,12.79461,0
358,12.69101,0
359,12.56151,0
360,12.56151,0
361,12.50971,0
362,12.43201,0
363,12.40611,0
364,12.40611,0
365,12.38021,0
366,12.38021,0
367,12.35431,0
368,12.25071,0
369,12.17301,0
370,12.06941,0
371,11.96581,0
372,11.83631,0
373,11.70681,0
374,11.60321,0
375,11.44781,0
376,11.26651,0
377,11.08521,0
378,10.90391,0
379,10.69671,0
380,10.46361,0
381,10.25641,0
382,10.04921,0
383,9.79021,0
384,9.634809,0
385,9.37581,0
386,9.116809,0
387,8.883709,0
388,8.547009,0
389,8.313909,0
390,8.003108,0
391,7.640508,0
392,7.355608,0
393,7.018907,0
394,6.604506,0
395,6.319606,0
396,6.008806,0
397,5.594406,0
398,5.309505,0
399,5.024605,0
400,4.662004,0
401,4.428905,0
402,4.144004,0
403,3.807304,0
404,3.574203,0
405,3.341104,0
406,3.056203,0
407,2.849003,0
408,2.641803,0
409,2.434602,0
410,2.279202,0
411,2.097902,0
412,1.942502,0
413,1.813002,0
414,1.657602,0
415,1.554002,0
416,1.450401,0
417,1.346801,0
418,1.217301,0
419,1.139601,0
420,1.061901,0
421,0.9324009,0
422,0.8547009,0
423,0.8029009,0
424,0.7252007,0
425,0.6734007,0
426,0.6475006,0
427,0.5698006,0
428,0.5439005,0
429,0.5180005,0
430,0.4662005,0
431,0.4144004,0
432,0.4144004,0
433,0.3626004,0
434,0.3367004,0
435,0.3108003,0
436,0.3108003,0
437,0.3108003,0
438,0.3108003,0
439,0.3108003,0
440,0.2849003,0
441,0.2590003,0
442,0.2849003,0
443,0.2849003,0
444,0.2849003,0
445,0.3108003,0
446,0.3367004,0
447,0.3626004,0
448,0.3885004,0
449,0.3885004,0
450,0.4144004,0
451,0.4144004,0
452,0.4662005,0
453,0.4921005,0
454,0.5180005,0
455,0.5439005,0
456,0.5698006,0
457,0.5957006,0
458,0.6216006,0
459,0.6475006,0
460,0.6993007,0
461,0.7252007,0
462,0.8029009,0
463,0.8547009,0
464,0.9065009,0
465,0.9324009,0
466,1.010101,0
467,1.087801,0
468,1.139601,0
469,1.217301,0
470,1.295001,0
471,1.346801,0
472,1.450401,0
473,1.528102,0
474,1.605802,0
475,1.761202,0
476,1.838902,0
477,1.916602,0
478,2.046102,0
479,2.149702,0
480,2.253302,0
481,2.434602,0
482,2.564103,0
483,2.693603,0
484,2.874903,0
485,3.004403,0
486,3.159803,0
487,3.367003,0
488,3.522403,0
489,3.677804,0
490,3.910904,0
491,4.066304,0
492,4.273504,0
493,4.532505,0
494,4.739705,0
495,4.972805,0
496,5.257706,0
497,5.516706,0
498,5.749805,0
499,6.112406,0
500,6.371406,0
501,6.656306,0
502,7.070707,0
503,7.355608,0
504,7.640508,0
505,8.132607,0
506,8.495209,0
507,8.831909,0
508,9.37581,0
509,9.73841,0
510,10.15281,0
511,10.74851,0
512,11.18881,0
513,11.65501,0
514,12.30251,0
515,12.79461,0
516,13.28671,0
517,14.03781,0
518,14.58171,0
519,15.20331,0
520,16.03212,0
521,16.62782,0
522,17.24942,0
523,18.15592,0
524,18.82932,0
525,19.52862,0
526,20.51282,0
527,21.26392,0
528,22.04092,0
529,23.12872,0
530,23.93162,0
531,24.78633,0
532,26.00363,0
533,26.93603,0
534,27.84253,0
535,29.13753,0
536,30.12173,0
537,31.10593,0
538,32.50453,0
539,33.54053,0
540,34.60243,0
541,36.07874,0
542,37.16654,0
543,38.22844,0
544,39.75654,0
545,40.84434,0
546,41.90624,0
547,43.43434,0
548,44.54805,0
549,45.66175,0
550,47.21575,0
551,48.32945,0
552,49.44315,0
553,51.02305,0
554,52.18855,0
555,53.35405,0
556,54.98576,0
557,56.15126,0
558,57.34266,0
559,59.05206,0
560,60.32116,0
561,61.59026,0
562,63.37737,0
563,64.69827,0
564,66.04507,0
565,67.90987,0.38783
566,69.30847,0.40138
567,70.70707,0.43846
568,72.70137,0.49826
569,74.17767,0.56849
570,75.67988,0.64149
571,77.80367,0.72368
572,79.35768,0.82085
573,80.96348,0.9334599
574,83.16499,1.0607
575,84.74488,1.2026
576,86.32478,1.368
577,88.44859,1.5673
578,89.95079,1.812
579,91.40119,2.1038
580,93.29189,2.4475
581,94.561,2.846
582,95.72649,3.309
583,97.0992,3.8381
584,97.9798,4.4302
585,98.7568,5.0779
586,99.5079,5.7805
587,99.8446,6.5648
588,100,7.463
