## Type: dye
## Name: DiD 
Extinction coefficient: 260000
Quantum Yield: 0.33
wavelength,absorption,emission
500,0.005,0
501,0.0058,0
502,0.0069,0
503,0.0072,0
504,0.0079,0
505,0.0091,0
506,0.0096,0
507,0.0103,0
508,0.0111,0
509,0.0124,0
510,0.0126,0
511,0.0138,0
512,0.0142,0
513,0.0153,0
514,0.0162,0
515,0.017000001,0
516,0.0178,0
517,0.0184,0
518,0.019300001,0
519,0.020400001,0
520,0.0207,0
521,0.0218,0
522,0.022500001,0
523,0.0233,0
524,0.0243,0
525,0.025,0
526,0.0264,0
527,0.0273,0
528,0.0283,0
529,0.0297,0
530,0.031399999,0
531,0.032499999,0
532,0.034499999,0
533,0.035500001,0
534,0.037099998,0
535,0.038800001,0
536,0.041099999,0
537,0.043200001,0
538,0.045600001,0
539,0.047600001,0
540,0.049699999,0
541,0.0524,0
542,0.055199999,0
543,0.057500001,0
544,0.0601,0
545,0.062899999,0
546,0.065700002,0
547,0.068499997,0
548,0.0713,0
549,0.073799998,0
550,0.076399997,0
551,0.079000004,0
552,0.081200004,0
553,0.083899997,0
554,0.0858,0
555,0.088,0
556,0.0898,0
557,0.091799997,0
558,0.093400002,0
559,0.095299996,0
560,0.098899998,0
561,0.099100001,0
562,0.1008,0
563,0.103100002,0
564,0.105300002,0
565,0.107600003,0
566,0.110299997,0
567,0.113200001,0
568,0.115599997,0
569,0.119400002,0
570,0.123199999,0
571,0.127299994,0
572,0.131899998,0
573,0.136899993,0
574,0.142499998,0
575,0.148499995,0
576,0.154899999,0
577,0.161400005,0
578,0.169,0
579,0.176400006,0
580,0.183899999,0
581,0.192699999,0
582,0.202099994,0
583,0.210899994,0
584,0.220599994,0
585,0.230499998,0
586,0.240999997,0
587,0.250400007,0
588,0.261000007,0
589,0.270999998,0
590,0.280299991,0
591,0.290800005,0
592,0.300199986,0
593,0.309199989,0
594,0.317699999,0
595,0.326000005,0
596,0.333600014,0
597,0.340799987,0
598,0.347000003,0
599,0.352400005,0
600,0.35769999,0.0103
601,0.361999989,0.0103
602,0.365999997,0.0103
603,0.369500011,0.0104
604,0.372000009,0.0104
605,0.373899996,0.0104
606,0.376300007,0.0105
607,0.377999991,0.0105
608,0.379200011,0.0105
609,0.380899996,0.0107
610,0.3829,0.0109
611,0.384799987,0.0113
612,0.387100011,0.0116
613,0.389899999,0.0124
614,0.393700004,0.0132
615,0.398000002,0.0139
616,0.403499991,0.0147
617,0.409999996,0.0151
618,0.417600006,0.0163
619,0.426499993,0.016899999
620,0.4366,0.017899999
621,0.448799998,0.0195
622,0.461600006,0.0211
623,0.476000011,0.022399999
624,0.49180001,0.024
625,0.50880003,0.0262
626,0.528800011,0.029100001
627,0.548300028,0.0317
628,0.57099998,0.034899998
629,0.594500005,0.038600001
630,0.619499981,0.043200001
631,0.644999981,0.0484
632,0.672100008,0.056000002
633,0.699500024,0.0638
634,0.727800012,0.072700001
635,0.756600022,0.0836
636,0.785399973,0.097400002
637,0.813600004,0.1105
638,0.841400027,0.125499994
639,0.868300021,0.141200006
640,0.89380002,0.159400001
641,0.917500019,0.179900005
642,0.938300014,0.201399997
643,0.957300007,0.225500003
644,0.973200023,0.251800001
645,0.985199988,0.278400004
646,0.994199991,0.309199989
647,0.999100029,0.341899991
648,1,0.376800001
649,0.996800005,0.409000009
650,0.988699973,0.442600012
651,0.977299988,0.4815
652,0.961399972,0.525099993
653,0.941600025,0.570200026
654,0.918600023,0.611800015
655,0.892099977,0.654399991
656,0.862399995,0.691900015
657,0.830600023,0.730000019
658,0.79610002,0.76849997
659,0.75910002,0.804899991
660,0.721899986,0.840900004
661,0.683200002,0.87559998
662,0.644500017,0.901600003
663,0.604700029,0.924099982
664,0.565699995,0.94660002
665,0.525900006,0.965699971
666,0.487399995,0.979200006
667,0.450899988,0.988200009
668,0.414700001,0.997200012
669,0.379799992,0.999000013
670,0.346700013,1
671,0.316000015,0.995800018
672,0.287099987,0.988900006
673,0.260600001,0.975399971
674,0.235100001,0.957400024
675,0.211700007,0.939700007
676,0.190200001,0.921299994
677,0.170000002,0.898800015
678,0.151800007,0.876299977
679,0.134900004,0.851599991
680,0.120499998,0.82249999
681,0.1074,0.789600015
682,0.095299996,0.760500014
683,0.085100003,0.728600025
684,0.075999998,0.696399987
685,0.066600002,0.665199995
686,0.059700001,0.638800025
687,0.0526,0.6153
688,0.0471,0.591300011
689,0.041900001,0.564999998
690,0.037500001,0.542100012
691,0.033399999,0.520299971
692,0.0297,0.499799997
693,0.0266,0.476599991
694,0.023700001,0.456800014
695,0.0211,0.443300009
696,0.019400001,0.42809999
697,0.016799999,0.410100013
698,0.0152,0.395099998
699,0.014,0.380899996
700,0.0125,0.36500001
701,0.011,0.352899998
702,0.01,0.340499997
703,0.009,0.3292
704,0.005,0.319299996
705,0.001,0.311399996
706,0.0009,0.298999995
707,0.0005,0.291000009
708,0,0.283800006
709,0,0.2773
710,0,0.270999998
711,0,0.266600013
712,0,0.260699987
713,0,0.255600005
714,0,0.253300011
715,0,0.250099987
716,0,0.245199993
717,0,0.241799995
718,0,0.2359
719,0,0.230599999
720,0,0.231399998
721,0,0.227799997
722,0,0.2236
723,0,0.222499996
724,0,0.220699996
725,0,0.215299994
726,0,0.211899996
727,0,0.206599995
728,0,0.205300003
729,0,0.202399999
730,0,0.200499997
731,0,0.197099999
732,0,0.192499995
733,0,0.189799994
734,0,0.185900003
735,0,0.180999994
736,0,0.176799998
737,0,0.1708
738,0,0.167799994
739,0,0.163399994
740,0,0.159199998
741,0,0.158099994
742,0,0.155399993
743,0,0.151199996
744,0,0.1479
745,0,0.143600002
746,0,0.138600007
747,0,0.135199994
748,0,0.134599999
749,0,0.131600007
750,0,0.128199995
751,0,0.124399997
752,0,0.120999999
753,0,0.1175
754,0,0.114200003
755,0,0.111500002
756,0,0.108099997
757,0,0.104000002
758,0,0.100100003
759,0,0.097099997
760,0,0.093400002
761,0,0.092
762,0,0.090300001
763,0,0.086300001
764,0,0.082599998
765,0,0.079099998
766,0,0.0779
767,0,0.0757
768,0,0.0735
769,0,0.071599998
770,0,0.069200002
771,0,0.066
772,0,0.064199999
773,0,0.063100003
774,0,0.0614
775,0,0.0605
776,0,0.058899999
777,0,0.055
778,0,0.053800002
779,0,0.053599998
780,0,0.052499998
781,0,0.050900001
782,0,0.049400002
783,0,0.048099998
784,0,0.046999998
785,0,0.045899998
786,0,0.0449
787,0,0.0438
788,0,0.0436
789,0,0.0405
790,0,0.040100001
791,0,0.039700001
792,0,0.0372
793,0,0.036400001
794,0,0.035700001
795,0,0.0348
796,0,0.034200002
797,0,0.033799998
798,0,0.0319
799,0,0.030999999
800,0,0.030099999
801,0,0.028000001
802,0,0.025
803,0,0.024
804,0,0.022
805,0,0.02
806,0,0.017999999
807,0,0.016000001
808,0,0.014
809,0,0.012
810,0,0.01
811,0,0.009
812,0,0.007
813,0,0.006
814,0,0.005
815,0,0.001
