## Type: dye
## Name: JF552
Extinction coefficient: 95,000
Quantum Yield: 0.83
wavelength,absorption,emission
250, 0.210849912, 0
251, 0.217315829, 0
252, 0.221233184, 0
253, 0.226867484, 0
254, 0.229854414, 0
255, 0.233465764, 0
256, 0.235672493, 0
257, 0.24033924, 0
258, 0.241069158, 0
259, 0.235394667, 0
260, 0.231137877, 0
261, 0.224875691, 0
262, 0.220812911, 0
263, 0.210155548, 0
264, 0.20975616, 0
265, 0.202212632, 0
266, 0.199321603, 0
267, 0.196905003, 0
268, 0.195403355, 0
269, 0.195531225, 0
270, 0.195429229, 0
271, 0.193181126, 0
272, 0.193454699, 0
273, 0.193869372, 0
274, 0.191859354, 0
275, 0.195536671, 0
276, 0.197507522, 0
277, 0.201417645, 0
278, 0.206845656, 0
279, 0.209408548, 0
280, 0.207440931, 0
281, 0.209347513, 0
282, 0.209343306, 0
283, 0.210665923, 0
284, 0.205206928, 0
285, 0.205371582, 0
286, 0.207408509, 0
287, 0.203033405, 0
288, 0.203577783, 0
289, 0.201488999, 0
290, 0.196859341, 0
291, 0.18891767, 0
292, 0.180336629, 0
293, 0.167970266, 0
294, 0.157185804, 0
295, 0.147516368, 0
296, 0.14065367, 0
297, 0.131773369, 0
298, 0.12456316, 0
299, 0.112812891, 0
300, 0.10351491, 0
301, 0.096286494, 0
302, 0.089729055, 0
303, 0.081730185, 0
304, 0.075557645, 0
305, 0.066744086, 0
306, 0.062126548, 0
307, 0.056897127, 0
308, 0.052009908, 0
309, 0.049483381, 0
310, 0.045479378, 0
311, 0.042741182, 0
312, 0.039469472, 0
313, 0.036164653, 0
314, 0.035743557, 0
315, 0.033129363, 0
316, 0.030989043, 0
317, 0.029936378, 0
318, 0.030075172, 0
319, 0.033503729, 0
320, 0.047265673, 0
321, 0.072604581, 0
322, 0.097072408, 0
323, 0.113047776, 0
324, 0.114641174, 0
325, 0.103128173, 0
326, 0.075548179, 0
327, 0.048571462, 0
328, 0.031734038, 0
329, 0.024727155, 0
330, 0.024279487, 0
331, 0.023097685, 0
332, 0.023363264, 0
333, 0.023194829, 0
334, 0.02441216, 0
335, 0.025704316, 0
336, 0.026028859, 0
337, 0.027676227, 0
338, 0.028615092, 0
339, 0.030275787, 0
340, 0.03155053, 0
341, 0.031185619, 0
342, 0.03271412, 0
343, 0.033216978, 0
344, 0.034008153, 0
345, 0.034351986, 0
346, 0.035662935, 0
347, 0.035050382, 0
348, 0.035569684, 0
349, 0.036330629, 0
350, 0.038270531, 0
351, 0.038985718, 0
352, 0.040282511, 0
353, 0.042819416, 0
354, 0.042999955, 0
355, 0.045750725, 0
356, 0.047232237, 0
357, 0.04852416, 0
358, 0.050183, 0
359, 0.051111504, 0
360, 0.051603975, 0
361, 0.051965442, 0
362, 0.052408144, 0
363, 0.051326492, 0
364, 0.048680812, 0
365, 0.047350407, 0
366, 0.043929349, 0
367, 0.042637104, 0
368, 0.039981142, 0
369, 0.037260606, 0
370, 0.034034806, 0
371, 0.032244667, 0
372, 0.028972489, 0
373, 0.027662039, 0
374, 0.025076086, 0
375, 0.023645011, 0
376, 0.02254668, 0
377, 0.020622128, 0
378, 0.019832931, 0
379, 0.019747026, 0
380, 0.018590653, 0
381, 0.018563692, 0
382, 0.01748393, 0
383, 0.017442585, 0
384, 0.018207562, 0
385, 0.017695073, 0
386, 0.017586685, 0
387, 0.018032502, 0
388, 0.018044889, 0
389, 0.018023146, 0
390, 0.018498131, 0
391, 0.018847374, 0
392, 0.01932173, 0
393, 0.01904906, 0
394, 0.019121673, 0
395, 0.019220856, 0
396, 0.019588653, 0
397, 0.019523958, 0
398, 0.019776593, 0
399, 0.019899608, 0
400, 0.019912737, 0
401, 0.019577818, 0
402, 0.019211514, 0
403, 0.019009173, 0
404, 0.018971785, 0
405, 0.018496563, 0
406, 0.018771975, 0
407, 0.018372726, 0
408, 0.018207817, 0
409, 0.018222657, 0
410, 0.018062553, 0
411, 0.018223484, 0
412, 0.017581226, 0
413, 0.017801967, 0
414, 0.017938123, 0
415, 0.018115747, 0
416, 0.017921448, 0
417, 0.017805328, 0
418, 0.017421646, 0
419, 0.016996564, 0
420, 0.017428543, 0
421, 0.016892762, 0
422, 0.01649342, 0
423, 0.01597325, 0
424, 0.015740153, 0
425, 0.015235265, 0
426, 0.014826049, 0
427, 0.014280183, 0
428, 0.013759744, 0
429, 0.013359488, 0
430, 0.012693962, 0
431, 0.012039802, 0
432, 0.011518138, 0
433, 0.010827136, 0
434, 0.010531199, 0
435, 0.009888012, 0
436, 0.009691806, 0
437, 0.00908773, 0
438, 0.008888831, 0
439, 0.008688094, 0
440, 0.008628913, 0
441, 0.008235766, 0
442, 0.008006345, 0
443, 0.007957586, 0
444, 0.0080768, 0
445, 0.007907764, 0
446, 0.008337254, 0
447, 0.008706564, 0
448, 0.008923269, 0
449, 0.009305433, 0
450, 0.009285884, 0
451, 0.010182513, 0
452, 0.010523087, 0
453, 0.010930821, 0
454, 0.011817496, 0
455, 0.012389957, 0
456, 0.012928853, 0
457, 0.014041219, 0
458, 0.014882248, 0
459, 0.015697907, 0
460, 0.01616144, 0
461, 0.017186835, 0
462, 0.018290397, 0
463, 0.019409912, 0
464, 0.020683503, 0
465, 0.02176509, 0
466, 0.024426512, 0
467, 0.025098087, 0
468, 0.026376796, 0
469, 0.027951571, 0
470, 0.029789359, 0
471, 0.03144668, 0
472, 0.033462186, 0
473, 0.035690548, 0
474, 0.037137493, 0
475, 0.039352952, 0
476, 0.042432251, 0
477, 0.044557384, 0
478, 0.046294124, 0
479, 0.047729724, 0
480, 0.052411231, 0
481, 0.054401294, 0
482, 0.057132261, 0
483, 0.059315385, 0
484, 0.060904466, 0
485, 0.063514306, 0
486, 0.064894081, 0
487, 0.067370392, 0
488, 0.070611009, 0
489, 0.07336126, 0
490, 0.076670314, 0
491, 0.079699775, 0
492, 0.083918158, 0
493, 0.087573344, 0
494, 0.090368194, 0
495, 0.098393967, 0
496, 0.103281386, 0
497, 0.111095993, 0
498, 0.116802811, 0
499, 0.121503399, 0
500, 0.12757915, 0.001009734
501, 0.134645041, 0.000869661
502, 0.144141788, 0.000800428
503, 0.155390553, 0.000912104
504, 0.165327749, 0.000755597
505, 0.173864667, 0.00090023
506, 0.184282318, 0.001011278
507, 0.19210145, 0.000911884
508, 0.201179426, 0.000933444
509, 0.212439139, 0.000903503
510, 0.222109361, 0.000939681
511, 0.230665008, 0.000954275
512, 0.239149967, 0.001078659
513, 0.248878443, 0.001073117
514, 0.256923343, 0.001148392
515, 0.266306375, 0.001172711
516, 0.278333364, 0.001137442
517, 0.284439533, 0.001407765
518, 0.290547475, 0.001408497
519, 0.297368557, 0.001349859
520, 0.301457882, 0.00150474
521, 0.3069254, 0.001661022
522, 0.311363934, 0.001652635
523, 0.317438782, 0.001627652
524, 0.326711829, 0.001992302
525, 0.332759126, 0.001895988
526, 0.341321885, 0.002091951
527, 0.346487136, 0.002362414
528, 0.351441155, 0.002498849
529, 0.357089466, 0.002783771
530, 0.359055266, 0.003009635
531, 0.371223268, 0.003272889
532, 0.376945224, 0.003875807
533, 0.390696893, 0.004283126
534, 0.406457014, 0.0050742
535, 0.420876151, 0.005794221
536, 0.434776482, 0.006850773
537, 0.450695751, 0.00801853
538, 0.481814215, 0.009047131
539, 0.506616854, 0.010685046
540, 0.537048324, 0.012464287
541, 0.560149576, 0.015555966
542, 0.582988589, 0.017772926
543, 0.601777858, 0.021372738
544, 0.626887133, 0.02505087
545, 0.652942465, 0.029121191
546, 0.679774634, 0.035180454
547, 0.718591869, 0.04244605
548, 0.755147105, 0.051045214
549, 0.780404697, 0.059302445
550, 0.80996881, 0.069695104
551, 0.845160942, 0.080416136
552, 0.879299313, 0.092033135
553, 0.906352008, 0.107814215
554, 0.929675019, 0.126069605
555, 0.949379157, 0.145460458
556, 0.961676455, 0.165881349
557, 0.977948647, 0.189029001
558, 0.992592424, 0.217269841
559, 0.999654332, 0.246877212
560, 1, 0.281250873
561, 0.993785221, 0.31670514
562, 0.979749793, 0.358458028
563, 0.966036154, 0.397563311
564, 0.950203286, 0.434971717
565, 0.930771812, 0.481757882
566, 0.909311171, 0.528280805
567, 0.870596054, 0.580150436
568, 0.829627323, 0.628535491
569, 0.789641445, 0.672849969
570, 0.752292491, 0.720995216
571, 0.706967089, 0.763951921
572, 0.663903648, 0.806416745
573, 0.621551875, 0.851520991
574, 0.574984388, 0.887728392
575, 0.530459467, 0.917896474
576, 0.488643558, 0.942271063
577, 0.437443646, 0.964800666
578, 0.401782362, 0.981599464
579, 0.366934369, 0.991818818
580, 0.325179655, 0.996959384
581, 0.285947292, 0.999940323
582, 0.250599166, 0.993141684
583, 0.219789971, 0.984671857
584, 0.19420672, 0.973680001
585, 0.172484515, 0.961013252
586, 0.150519196, 0.936778616
587, 0.12799305, 0.915083159
588, 0.111310404, 0.889383373
589, 0.097607791, 0.864303182
590, 0.084482799, 0.835450988
591, 0.070665199, 0.808697013
592, 0.061792721, 0.775426735
593, 0.05519842, 0.742243472
594, 0.045616678, 0.71174749
595, 0.040018001, 0.678850978
596, 0.033738105, 0.648734243
597, 0.030301367, 0.618648235
598, 0.025779401, 0.591953545
599, 0.023570917, 0.564556804
600, 0.018761676, 0.531029565
601, 0.016163116, 0.505853168
602, 0.013332152, 0.479859305
603, 0.011977402, 0.457758511
604, 0.010261395, 0.435323278
605, 0.009223531, 0.413706271
606, 0.0083408, 0.395006282
607, 0.007391617, 0.374365457
608, 0.006964266, 0.356362269
609, 0.005863331, 0.339670399
610, 0.005147679, 0.323754844
611, 0.005026551, 0.308159337
612, 0.004373586, 0.296609722
613, 0.004253475, 0.283923548
614, 0.003277873, 0.272446726
615, 0.003339696, 0.260972636
616, 0.003547182, 0.249184405
617, 0.003028284, 0.2416371
618, 0.002661328, 0.232703308
619, 0.002511511, 0.225472786
620, 0.002137117, 0.219422475
621, 0.002166032, 0.212583431
622, 0.002500966, 0.205825064
623, 0.002763952, 0.20012411
