## Type: dye
## Name: JF-608
Extinction coefficient: 99,000
Quantum Yield: 0.67
wavelength,absorption,emission
250, 0.126181401, 0
251, 0.126438672, 0
252, 0.131110128, 0
253, 0.138092145, 0
254, 0.139918093, 0
255, 0.151427575, 0
256, 0.15301177, 0
257, 0.163625999, 0
258, 0.166520138, 0
259, 0.1684421, 0
260, 0.170727271, 0
261, 0.169808303, 0
262, 0.174821289, 0
263, 0.178254751, 0
264, 0.182054876, 0
265, 0.19266799, 0
266, 0.19063612, 0
267, 0.197842034, 0
268, 0.205332611, 0
269, 0.207771799, 0
270, 0.21105676, 0
271, 0.214639789, 0
272, 0.213412996, 0
273, 0.214036635, 0
274, 0.214739504, 0
275, 0.217918762, 0
276, 0.220448337, 0
277, 0.22069865, 0
278, 0.22672797, 0
279, 0.226522501, 0
280, 0.224155091, 0
281, 0.221546224, 0
282, 0.218472863, 0
283, 0.214125715, 0
284, 0.209236777, 0
285, 0.20633466, 0
286, 0.203136194, 0
287, 0.199637606, 0
288, 0.19579673, 0
289, 0.188247567, 0
290, 0.181042703, 0
291, 0.165227206, 0
292, 0.150916105, 0
293, 0.136215762, 0
294, 0.120665099, 0
295, 0.109034535, 0
296, 0.100867965, 0
297, 0.090312115, 0
298, 0.084476649, 0
299, 0.077346393, 0
300, 0.0699344, 0
301, 0.063575555, 0
302, 0.057685683, 0
303, 0.05501101, 0
304, 0.051086905, 0
305, 0.048919373, 0
306, 0.046630156, 0
307, 0.044525647, 0
308, 0.043224291, 0
309, 0.041903815, 0
310, 0.041697144, 0
311, 0.041451794, 0
312, 0.040632823, 0
313, 0.038631165, 0
314, 0.040208177, 0
315, 0.038891622, 0
316, 0.03793794, 0
317, 0.036512681, 0
318, 0.03382656, 0
319, 0.031235736, 0
320, 0.031858085, 0
321, 0.028383112, 0
322, 0.027839935, 0
323, 0.025471212, 0
324, 0.024031346, 0
325, 0.023253968, 0
326, 0.021437982, 0
327, 0.021578963, 0
328, 0.020440473, 0
329, 0.019451061, 0
330, 0.019409425, 0
331, 0.01773655, 0
332, 0.017678931, 0
333, 0.017000123, 0
334, 0.017074031, 0
335, 0.016194148, 0
336, 0.014888326, 0
337, 0.014769599, 0
338, 0.014749587, 0
339, 0.014321137, 0
340, 0.013614225, 0
341, 0.012940261, 0
342, 0.013184694, 0
343, 0.013468482, 0
344, 0.013265545, 0
345, 0.012866848, 0
346, 0.012866215, 0
347, 0.012892034, 0
348, 0.014263932, 0
349, 0.015910341, 0
350, 0.0231059, 0
351, 0.036382939, 0
352, 0.05137531, 0
353, 0.060547042, 0
354, 0.059792279, 0
355, 0.050702273, 0
356, 0.0357965, 0
357, 0.025912942, 0
358, 0.016946624, 0
359, 0.013574232, 0
360, 0.012701065, 0
361, 0.012688885, 0
362, 0.012011963, 0
363, 0.011913836, 0
364, 0.012221833, 0
365, 0.012044601, 0
366, 0.012390806, 0
367, 0.011869823, 0
368, 0.012409435, 0
369, 0.012187767, 0
370, 0.012176902, 0
371, 0.012828013, 0
372, 0.013494212, 0
373, 0.013991997, 0
374, 0.014899818, 0
375, 0.015397715, 0
376, 0.016268164, 0
377, 0.017173972, 0
378, 0.017120702, 0
379, 0.018209724, 0
380, 0.017097332, 0
381, 0.018145048, 0
382, 0.017920116, 0
383, 0.01753857, 0
384, 0.017936232, 0
385, 0.01718395, 0
386, 0.017156232, 0
387, 0.016956784, 0
388, 0.016879326, 0
389, 0.016422683, 0
390, 0.015563666, 0
391, 0.016647832, 0
392, 0.016517385, 0
393, 0.016485721, 0
394, 0.017038307, 0
395, 0.018095257, 0
396, 0.019198642, 0
397, 0.02001625, 0
398, 0.021816665, 0
399, 0.023172773, 0
400, 0.023748279, 0
401, 0.025264351, 0
402, 0.0262788, 0
403, 0.026062294, 0
404, 0.026330605, 0
405, 0.025930185, 0
406, 0.024581349, 0
407, 0.023491513, 0
408, 0.02235605, 0
409, 0.020920252, 0
410, 0.018825362, 0
411, 0.017040924, 0
412, 0.015086996, 0
413, 0.013755448, 0
414, 0.011183023, 0
415, 0.009563593, 0
416, 0.008104527, 0
417, 0.00657042, 0
418, 0.005343071, 0
419, 0.004549269, 0
420, 0.003687026, 0
421, 0.00311222, 0
422, 0.002662245, 0
423, 0.002164652, 0
424, 0.001792154, 0
425, 0.001579818, 0
426, 0.001264537, 0
427, 0.001046474, 0
428, 0.000858139, 0
429, 0.000771874, 0
430, 0.000689442, 0
431, 0.000560527, 0
432, 0.000514553, 0
433, 0.000693968, 0
434, 0.000384351, 0
435, 0.00044446, 0
436, 0.000523326, 0
437, 0.000595379, 0
438, 0.000465598, 0
439, 0.000585178, 0
440, 0.00064318, 0
441, 0.000555558, 0
442, 0.000493668, 0
443, 0.000623145, 0
444, 0.000632242, 0
445, 0.000579915, 0
446, 0.000609257, 0
447, 0.000647106, 0
448, 0.000626418, 0
449, 0.000659285, 0
450, 0.000771193, 0
451, 0.000834387, 0
452, 0.000870214, 0
453, 0.000853461, 0
454, 0.001012246, 0
455, 0.001082329, 0
456, 0.001062801, 0
457, 0.001239053, 0
458, 0.000997937, 0
459, 0.00108602, 0
460, 0.001123204, 0
461, 0.001366036, 0
462, 0.001256698, 0
463, 0.001410099, 0
464, 0.001474902, 0
465, 0.00138477, 0
466, 0.001646709, 0
467, 0.001971064, 0
468, 0.001949797, 0
469, 0.001911587, 0
470, 0.002131426, 0
471, 0.002369221, 0
472, 0.002028834, 0
473, 0.002596436, 0
474, 0.002855347, 0
475, 0.002726199, 0
476, 0.002761755, 0
477, 0.002873755, 0
478, 0.003110652, 0
479, 0.003252773, 0
480, 0.003214804, 0
481, 0.003673764, 0
482, 0.003475285, 0
483, 0.003992491, 0
484, 0.00388923, 0
485, 0.004215034, 0
486, 0.004107186, 0
487, 0.004375936, 0
488, 0.004710585, 0
489, 0.004570739, 0
490, 0.004958212, 0
491, 0.00511016, 0
492, 0.005652764, 0
493, 0.005885059, 0
494, 0.005803919, 0
495, 0.006286446, 0
496, 0.006722673, 0
497, 0.007335588, 0
498, 0.007551618, 0
499, 0.007703617, 0
500, 0.008083657, 0
501, 0.008969517, 0
502, 0.008824639, 0
503, 0.009491558, 0
504, 0.010296392, 0
505, 0.010273319, 0
506, 0.011236889, 0
507, 0.0118649, 0
508, 0.011965086, 0
509, 0.012678789, 0
510, 0.01372574, 0
511, 0.014883055, 0
512, 0.014648403, 0
513, 0.016165657, 0
514, 0.01747353, 0
515, 0.018164555, 0
516, 0.018760992, 0
517, 0.020311922, 0
518, 0.020473777, 0
519, 0.022308309, 0
520, 0.023413171, 0
521, 0.023121471, 0
522, 0.023677931, 0
523, 0.025831684, 0
524, 0.027332866, 0
525, 0.02842229, 0
526, 0.029802877, 0
527, 0.030342015, 0
528, 0.030898027, 0
529, 0.032033604, 0
530, 0.033274739, 0
531, 0.034364961, 0
532, 0.035561904, 0
533, 0.037267813, 0
534, 0.038870224, 0
535, 0.039608577, 0
536, 0.041500428, 0
537, 0.04363959, 0
538, 0.046580353, 0
539, 0.048216116, 0
540, 0.049925915, 0
541, 0.052069869, 0
542, 0.055141599, 0
543, 0.056859919, 0
544, 0.060747624, 0
545, 0.062458303, 0
546, 0.066226442, 0
547, 0.07041263, 0
548, 0.075117026, 0
549, 0.078569596, 0
550, 0.084016501, 0
551, 0.090270692, 0
552, 0.095562563, 0
553, 0.10112441, 0
554, 0.10786758, 0
555, 0.111354275, 0
556, 0.117699565, 0
557, 0.124460679, 0
558, 0.130574815, 0
559, 0.13741299, 0
560, 0.144596119, 0.001261027
561, 0.148866899, 0.001594865
562, 0.157160124, 0.001921359
563, 0.165510539, 0.001701922
564, 0.170973363, 0.002037034
565, 0.172833627, 0.001877249
566, 0.179343996, 0.002241657
567, 0.183154571, 0.002224626
568, 0.191234703, 0.00277011
569, 0.191412892, 0.002753785
570, 0.196805991, 0.002975476
571, 0.200424799, 0.003248803
572, 0.205524747, 0.00317436
573, 0.206260459, 0.003503543
574, 0.209375342, 0.004004575
575, 0.210169334, 0.004182027
576, 0.210254445, 0.004309863
577, 0.214466239, 0.004575954
578, 0.216441713, 0.004877928
579, 0.215426261, 0.00560287
580, 0.22208287, 0.005828262
581, 0.225535523, 0.006162706
582, 0.230776986, 0.007202755
583, 0.235262251, 0.007757365
584, 0.244621597, 0.00835438
585, 0.248350493, 0.009083122
586, 0.261711424, 0.009728146
587, 0.270396472, 0.011108867
588, 0.281212135, 0.012301048
589, 0.294106707, 0.013844171
590, 0.313613772, 0.015601972
591, 0.321992843, 0.017549642
592, 0.340072726, 0.019851638
593, 0.357940258, 0.023132088
594, 0.388522896, 0.025771356
595, 0.408809149, 0.029829455
596, 0.431770194, 0.033826807
597, 0.451177618, 0.039064775
598, 0.471171246, 0.043705475
599, 0.505776228, 0.0505974
600, 0.531148575, 0.060036624
601, 0.573460329, 0.067776424
602, 0.615264507, 0.080362587
603, 0.649429903, 0.090297729
604, 0.682089604, 0.103524298
605, 0.71133809, 0.118524311
606, 0.740375073, 0.134932688
607, 0.767378424, 0.15550322
608, 0.801286328, 0.177035203
609, 0.845109637, 0.200758009
610, 0.874723652, 0.22733418
611, 0.893362315, 0.258121904
612, 0.912723083, 0.289515226
613, 0.937280694, 0.320202118
614, 0.954541311, 0.361300247
615, 0.97164222, 0.401145252
616, 0.987616372, 0.447395554
617, 0.987550853, 0.494028137
618, 0.99959056, 0.537445887
619, 0.98599193, 0.581556503
620, 0.974157531, 0.625824344
621, 0.971715065, 0.678976464
622, 0.936383097, 0.734843599
623, 0.908862197, 0.780480942
624, 0.869258065, 0.821460764
625, 0.841380004, 0.861297137
626, 0.801281639, 0.899220287
627, 0.767762017, 0.928441027
628, 0.731913062, 0.955421482
629, 0.683435322, 0.982668229
630, 0.627550445, 0.985653182
631, 0.575002238, 0.998438902
632, 0.527965499, 0.999971594
633, 0.484888933, 0.990351409
634, 0.435324749, 0.980344599
635, 0.402075742, 0.965573477
636, 0.36066757, 0.937528482
637, 0.324756412, 0.914119874
638, 0.290141039, 0.884696688
639, 0.255762008, 0.850165092
640, 0.226320767, 0.816390738
641, 0.200384747, 0.78397851
642, 0.174275155, 0.742478167
643, 0.154645404, 0.707758518
644, 0.142984942, 0.662675369
645, 0.126972364, 0.628672602
646, 0.10349549, 0.589707304
647, 0.091499941, 0.552899816
648, 0.083007636, 0.521440588
649, 0.070875689, 0.489345629
650, 0.062028319, 0.455167701
651, 0.054147766, 0.418938966
652, 0.046565907, 0.391154664
653, 0.042666947, 0.363987319
654, 0.036807483, 0.34245572
655, 0.031233769, 0.319713747
656, 0.027285606, 0.301558315
657, 0.024766189, 0.282118664
658, 0.02210598, 0.259400282
659, 0.020187136, 0.245504828
660, 0.017980417, 0.229686105
661, 0.016110502, 0.214369429
662, 0.016908221, 0.204002531
663, 0.013862471, 0.191613682
664, 0.01209887, 0.181253533
665, 0.009749895, 0.169994959
666, 0.010493554, 0.162747644
667, 0.009307342, 0.152529528
668, 0.007841891, 0.14424345
669, 0.007796165, 0.138128987
670, 0.006611731, 0.132128599
671, 0.005270262, 0.125992058
672, 0.005289375, 0.11978124
673, 0.00626646, 0.114962157
674, 0.004279912, 0.109905885
675, 0.004593036, 0.105881327
676, 0.004599074, 0.10235825
677, 0.004180713, 0.097400469
678, 0.004606284, 0.095047154
679, 0.004425013, 0.092276635
680, 0.004045874, 0.09031584
681, 0.003543901, 0.086471658
682, 0.004546308, 0.083683766
683, 0.004426409, 0.08267364
684, 0.003466629, 0.080424511
685, 0.00305149, 0.078036287
686, 0.003563792, 0.075572761
687, 0.0043273, 0.075228625
688, 0.004045778, 0.072461057
689, 0.002584784, 0.071446838
690, 0.002852534, 0.070828456
691, 0.004513268, 0.069404318
692, 0.002590391, 0.068684509
693, 0.002963568, 0.066772164
694, 0.00242132, 0.067213593
695, 0.002046048, 0.065727923
696, 0.002507253, 0.064222671
697, 0.001923869, 0.064138246
698, 0.003065112, 0.061592085
699, 0.001231678, 0.058762927
700, 0, 0.059392565
701, 0, 0.057760979
702, 0, 0.054725347
703, 0, 0.052998032
704, 0, 0.05126939
705, 0, 0.050182735
706, 0, 0.048826419
707, 0, 0.046690352
708, 0, 0.045395104
709, 0, 0.043149364
710, 0, 0.041031122
711, 0, 0.039464746
712, 0, 0.03754835
713, 0, 0.036196488
714, 0, 0.033958136
715, 0, 0.032198831
716, 0, 0.030438352
717, 0, 0.029019517
718, 0, 0.027124511
719, 0, 0.026176647
720, 0, 0.024843881
721, 0, 0.023664029
722, 0, 0.022562636
723, 0, 0.021431679
724, 0, 0.019757812
725, 0, 0.018551013
726, 0, 0.016824862
727, 0, 0.016188086
728, 0, 0.015238704
729, 0, 0.014510162
730, 0, 0.013568584
731, 0, 0.013147467
732, 0, 0.011693385
733, 0, 0.011429384
734, 0, 0.01099828
735, 0, 0.010345788
736, 0, 0.009801895
737, 0, 0.009315265
738, 0, 0.008918073
739, 0, 0.008518562
740, 0, 0.007967612
741, 0, 0.007708515
742, 0, 0.007029063
743, 0, 0.006964361
744, 0, 0.006448381
745, 0, 0.006160211
746, 0, 0.005650303
747, 0, 0.005392191
748, 0, 0.005418503
749, 0, 0.005232486
750, 0, 0.005004414
751, 0, 0.004773893
752, 0, 0.004572753
753, 0, 0.004484372
754, 0, 0.004182632
755, 0, 0.004054921
756, 0, 0.00392339
757, 0, 0.00378952
758, 0, 0.003708396
759, 0, 0.003487875
760, 0, 0.003341088
761, 0, 0.003194708
762, 0, 0.003301294
763, 0, 0.003221933
764, 0, 0.003225839
765, 0, 0.003001484
766, 0, 0.002714137
767, 0, 0.002750306
768, 0, 0.002785519
769, 0, 0.002689715
770, 0, 0.002750027
771, 0, 0.002484997
772, 0, 0.002375605
773, 0, 0.002238278
774, 0, 0.002181801
775, 0, 0.001964372
776, 0, 0.002144124
777, 0, 0.001957102
778, 0, 0.001885079
779, 0, 0.001622417
780, 0, 0.00180712
781, 0, 0.001655685
782, 0, 0.001901477
783, 0, 0.001771927
784, 0, 0.001567942
785, 0, 0.001462863
786, 0, 0.001378646
787, 0, 0.00137942
788, 0, 0.00163682
789, 0, 0.001484251
790, 0, 0.001195978
791, 0, 0.001057214
792, 0, 0.001234218
793, 0, 0.001341321
794, 0, 0.001224905
795, 0, 0.00111359
796, 0, 0.001126271
797, 0, 0.001139712
798, 0, 0.000851047
799, 0, 0.000903597
