## Type: Dye
## Name: mChartreuse
Extinction coefficient: 71000
Quantum Yield: 0.75
wavelength,absorption,emission
350,0.038600001,0
351,0.039099999,0
352,0.037099998,0
353,0.039900001,0
354,0.0396,0
355,0.0374,0
356,0.039000001,0
357,0.036200002,0
358,0.041299999,0
359,0.0394,0
360,0.0394,0
361,0.041000001,0
362,0.038800001,0
363,0.041900001,0
364,0.041200001,0
365,0.044199999,0
366,0.043900002,0
367,0.042199999,0
368,0.045499999,0
369,0.043699998,0
370,0.0473,0
371,0.0471,0
372,0.047800001,0
373,0.047600001,0
374,0.048500001,0
375,0.049800001,0
376,0.054900002,0
377,0.0506,0
378,0.051800001,0
379,0.0548,0
380,0.055100001,0
381,0.0572,0
382,0.059099998,0
383,0.060199998,0
384,0.061099999,0
385,0.063299999,0
386,0.0656,0
387,0.063600004,0
388,0.0669,0
389,0.068300001,0
390,0.071500003,0
391,0.070100002,0
392,0.071699999,0
393,0.076099999,0
394,0.078699999,0
395,0.078199998,0
396,0.078699999,0
397,0.083899997,0
398,0.084100001,0
399,0.086599998,0
400,0.088399999,0
401,0.089000002,0
402,0.0911,0
403,0.097400002,0
404,0.096600004,0
405,0.099600002,0
406,0.103299998,0
407,0.105700001,0
408,0.106700003,0
409,0.112800002,0
410,0.115500003,0
411,0.1206,0
412,0.124499999,0
413,0.128099993,0
414,0.131099999,0
415,0.137700006,0
416,0.1435,0
417,0.146899998,0
418,0.152199998,0
419,0.159600005,0
420,0.162799999,0
421,0.171900004,0
422,0.175899997,0
423,0.183799997,0
424,0.189700007,0
425,0.195099995,0
426,0.202500001,0
427,0.209000006,0
428,0.218999997,0
429,0.224399999,0
430,0.238499999,0
431,0.245900005,0
432,0.257800013,0
433,0.262300014,0
434,0.274500012,0
435,0.281399995,0
436,0.296200007,0
437,0.309399992,0
438,0.322699994,0
439,0.332500011,0
440,0.344500005,0
441,0.355300009,0
442,0.372900009,0
443,0.385500014,0
444,0.40290001,0
445,0.415499985,0
446,0.434199989,0
447,0.451000005,0
448,0.471599996,0
449,0.484499991,0
450,0.503099978,0
451,0.519800007,0
452,0.534099996,0
453,0.549499989,0
454,0.568199992,0
455,0.591600001,0
456,0.608200014,0
457,0.626299977,0
458,0.642199993,0
459,0.655799985,0
460,0.672900021,0
461,0.683700025,0
462,0.692700028,0
463,0.711199999,0
