##Type: Dye
##Name: mLemon
Extinction coefficient: 125000
Quantum Yield: 0.74
wavelength,absorption,emission
350,0.040199999,0
351,0.0383,0
352,0.034499999,0
353,0.035300002,0
354,0.036800001,0
355,0.033599999,0
356,0.035999998,0
357,0.035799999,0
358,0.033300001,0
359,0.035300002,0
360,0.034400001,0
361,0.0297,0
362,0.028000001,0
363,0.026799999,0
364,0.027000001,0
365,0.0263,0
366,0.025599999,0
367,0.023600001,0
368,0.0241,0
369,0.023399999,0
370,0.025,0
371,0.0244,0
372,0.021400001,0
373,0.018999999,0
374,0.0217,0
375,0.021400001,0
376,0.017999999,0
377,0.021,0
378,0.017999999,0
379,0.0209,0
380,0.0173,0
381,0.020199999,0
382,0.0206,0
383,0.0189,0
384,0.018300001,0
385,0.017200001,0
386,0.0178,0
387,0.020400001,0
388,0.0178,0
389,0.0199,0
390,0.0175,0
391,0.0175,0
392,0.0178,0
393,0.017000001,0
394,0.018300001,0
395,0.017999999,0
396,0.022299999,0
397,0.0134,0
398,0.0141,0
399,0.0149,0
400,0.0165,0
401,0.017200001,0
402,0.0166,0
403,0.0154,0
404,0.019200001,0
405,0.0189,0
406,0.0178,0
407,0.017999999,0
408,0.018999999,0
409,0.017100001,0
410,0.017000001,0
411,0.017999999,0
412,0.0207,0
413,0.017999999,0
414,0.016899999,0
415,0.017100001,0
416,0.020400001,0
417,0.0187,0
418,0.0198,0
419,0.020400001,0
420,0.022700001,0
421,0.021199999,0
422,0.023,0
423,0.0219,0
424,0.021400001,0
425,0.0261,0
426,0.0231,0
427,0.025900001,0
428,0.0241,0
429,0.0241,0
430,0.0239,0
431,0.0261,0
432,0.027000001,0
433,0.026799999,0
434,0.0285,0
435,0.031099999,0
436,0.029999999,0
437,0.032400001,0
438,0.035999998,0
439,0.0361,0
440,0.035799999,0
441,0.037799999,0
442,0.0427,0
443,0.0436,0
444,0.046799999,0
445,0.047899999,0
446,0.0524,0
447,0.057700001,0
448,0.0594,0
449,0.063299999,0
450,0.064300001,0
451,0.067299999,0
452,0.074100003,0
453,0.073899999,0
454,0.0814,0
455,0.081600003,0
456,0.085500002,0
457,0.090599999,0
458,0.097199999,0
459,0.101099998,0
460,0.100599997,0
461,0.1087,0
462,0.1096,0
463,0.113600001,0
464,0.1206,0
465,0.130099997,0
466,0.139200002,0
467,0.148499995,0
468,0.156000003,0
469,0.164299995,0
470,0.173800007,0
471,0.188500002,0
472,0.201399997,0
473,0.215800002,0
474,0.228599995,0
475,0.244499996,0
476,0.263799995,0
477,0.27759999,0
478,0.293500006,0
479,0.307399988,0
480,0.323199987,0
481,0.335700005,0
482,0.346899986,0
483,0.354699999,0
484,0.357600003,0
485,0.362699986,0
486,0.367399991,0
487,0.373199999,0
488,0.377900004,0
489,0.382299989,0
490,0.382699996,0.004
491,0.389600009,0.0043
492,0.39230001,0.0051
493,0.40200001,0.0052
494,0.410600007,0.0065
495,0.421499997,0.0075
496,0.439500004,0.0087
497,0.45660001,0.0102
498,0.471700013,0.0121
499,0.490700006,0.0138
500,0.512499988,0.0175
501,0.54610002,0.022299999
502,0.577799976,0.0277
503,0.603600025,0.033
504,0.639699996,0.041900001
505,0.678200006,0.054000001
506,0.727699995,0.067000002
507,0.769699991,0.082500003
508,0.813300014,0.104099996
509,0.85769999,0.125699997
510,0.896600008,0.161699995
511,0.938600004,0.195600003
512,0.965699971,0.238000005
513,0.988600016,0.292299986
514,1,0.353399992
515,0.999599993,0.413800001
516,0.98299998,0.477699995
517,0.95660001,0.549300015
518,0.922500014,0.608500004
519,0.876600027,0.697099984
520,0.807200015,0.75849998
521,0.734099984,0.817200005
522,0.660099983,0.870800018
523,0.579299986,0.925899982
524,0.493699998,0.95569998
525,0.429199994,0.982599974
526,0.370599985,1
527,0.329600006,0.998199999
528,0.279199988,0.992799997
529,0.2421,0.979900002
530,0.208499998,0.957400024
531,0.177499995,0.92750001
532,0.150399998,0.899800003
533,0.1219,0.872900009
534,0.097999997,0.837000012
535,0.082900003,0.799799979
536,0.068999998,0.755699992
537,0.054400001,0.722500026
538,0.042599998,0.686800003
539,0.0341,0.658399999
540,0.033100002,0.619300008
541,0.0306,0.587199986
542,0.022500001,0.565599978
543,0.0208,0.531400025
544,0.018300001,0.505200028
545,0.016000001,0.487500012
546,0.0146,0.467999995
547,0.0116,0.442000002
548,0.0122,0.419499993
549,0.0134,0.409500003
550,0.0109,0.392500013
551,0,0.386200011
552,0,0.371100008
553,0,0.363299996
554,0,0.353700012
555,0,0.346599996
556,0,0.336699992
557,0,0.329400003
558,0,0.323500007
559,0,0.315899998
560,0,0.308200002
561,0,0.3037
562,0,0.299199998
563,0,0.294999987
564,0,0.287800014
565,0,0.278800011
566,0,0.273699999
567,0,0.26820001
568,0,0.264600009
569,0,0.253899992
570,0,0.251100004
571,0,0.239800006
572,0,0.232500002
573,0,0.226600006
574,0,0.216100007
575,0,0.211799994
576,0,0.202800006
577,0,0.192399994
578,0,0.185699999
579,0,0.179499999
580,0,0.171000004
581,0,0.165700004
582,0,0.159400001
583,0,0.148800001
584,0,0.143999994
585,0,0.137799993
586,0,0.132699996
587,0,0.126399994
588,0,0.120399997
589,0,0.114299998
590,0,0.109499998
591,0,0.107199997
592,0,0.0999
593,0,0.097199999
594,0,0.093099996
595,0,0.089400001
596,0,0.086099997
597,0,0.083800003
598,0,0.078299999
599,0,0.075300001
600,0,0.0744
601,0,0.071400002
602,0,0.069600001
603,0,0.067400001
604,0,0.064599998
605,0,0.061500002
606,0,0.059500001
607,0,0.057300001
608,0,0.056499999
609,0,0.055300001
610,0,0.052200001
611,0,0.050500002
612,0,0.049800001
613,0,0.0484
614,0,0.046
615,0,0.045299999
616,0,0.042399999
617,0,0.041700002
618,0,0.040899999
619,0,0.0396
620,0,0.0385
621,0,0.036600001
622,0,0.037500001
623,0,0.0352
624,0,0.0339
625,0,0.033
626,0,0.032400001
627,0,0.0306
628,0,0.0298
629,0,0.029100001
630,0,0.027000001
631,0,0.027000001
632,0,0.0264
633,0,0.0254
634,0,0.0239
635,0,0.023700001
636,0,0.0229
637,0,0.021400001
638,0,0.020400001
639,0,0.020199999
640,0,0.019300001
641,0,0.0186
642,0,0.0187
643,0,0.018100001
644,0,0.016799999
645,0,0.016799999
646,0,0.0162
647,0,0.015
648,0,0.0138
649,0,0.0147
650,0,0.0133
