## Type: dye
## Name: mScarlet3-H
Extinction coefficient: 102685
Quantum Yield: 0.18
wavelength,absorption,emission
400,0.00318,0
400.1,0.00329,0
400.2,0.00329,0
400.3,0.00329,0
400.4,0.00329,0
400.5,0.00329,0
400.6,0.0034,0
400.7,0.0034,0
400.8,0.0034,0
400.9,0.0034,0
401,0.0035,0
401.1,0.0035,0
401.2,0.0034,0
401.3,0.0034,0
401.4,0.0034,0
401.5,0.0034,0
401.6,0.0034,0
401.7,0.0034,0
401.8,0.0034,0
401.9,0.0034,0
402,0.0035,0
402.1,0.0035,0
402.2,0.0035,0
402.3,0.0035,0
402.4,0.0035,0
402.5,0.00361,0
402.6,0.00361,0
402.7,0.00361,0
402.8,0.00371,0
402.9,0.00371,0
403,0.00371,0
403.1,0.00371,0
403.2,0.00382,0
403.3,0.00382,0
403.4,0.00382,0
403.5,0.00382,0
403.6,0.00393,0
403.7,0.00393,0
403.8,0.00393,0
403.9,0.00393,0
404,0.00403,0
404.1,0.00403,0
404.2,0.00403,0
404.3,0.00403,0
404.4,0.00414,0
404.5,0.00424,0
404.6,0.00424,0
404.7,0.00414,0
404.8,0.00424,0
404.9,0.00424,0
405,0.00424,0
405.1,0.00435,0
405.2,0.00435,0
405.3,0.00435,0
405.4,0.00435,0
405.5,0.00435,0
405.6,0.00446,0
405.7,0.00446,0
405.8,0.00446,0
405.9,0.00446,0
406,0.00446,0
406.1,0.00456,0
406.2,0.00456,0
406.3,0.00456,0
406.4,0.00467,0
406.5,0.00467,0
406.6,0.00467,0
406.7,0.00477,0
406.8,0.00477,0
406.9,0.00477,0
407,0.00488,0
407.1,0.00488,0
407.2,0.00488,0
407.3,0.00488,0
407.4,0.00499,0
407.5,0.00499,0
407.6,0.00499,0
407.7,0.00509,0
407.8,0.00509,0
407.9,0.00509,0
408,0.00509,0
408.1,0.0052,0
408.2,0.0052,0
408.3,0.0052,0
408.4,0.00531,0
408.5,0.00531,0
408.6,0.00531,0
408.7,0.00541,0
408.8,0.00541,0
408.9,0.00552,0
409,0.00552,0
409.1,0.00552,0
409.2,0.00552,0
409.3,0.00562,0
409.4,0.00562,0
409.5,0.00573,0
409.6,0.00573,0
409.7,0.00573,0
409.8,0.00573,0
409.9,0.00573,0
410,0.00584,0
410.1,0.00584,0
410.2,0.00594,0
410.3,0.00594,0
410.4,0.00594,0
410.5,0.00584,0
410.6,0.00605,0
410.7,0.00594,0
410.8,0.00615,0
410.9,0.00605,0
411,0.00615,0
411.1,0.00615,0
411.2,0.00615,0
411.3,0.00615,0
411.4,0.00626,0
411.5,0.00637,0
411.6,0.00637,0
411.7,0.00637,0
411.8,0.00637,0
411.9,0.00647,0
412,0.00647,0
412.1,0.00658,0
412.2,0.00658,0
412.3,0.00668,0
412.4,0.00668,0
412.5,0.00668,0
412.6,0.00679,0
412.7,0.00679,0
412.8,0.007,0
412.9,0.007,0
413,0.007,0
413.1,0.007,0
413.2,0.00711,0
413.3,0.00711,0
413.4,0.00732,0
413.5,0.00732,0
413.6,0.00732,0
413.7,0.00743,0
413.8,0.00743,0
413.9,0.00743,0
414,0.00743,0
414.1,0.00753,0
414.2,0.00753,0
414.3,0.00764,0
414.4,0.00775,0
414.5,0.00775,0
414.6,0.00785,0
414.7,0.00796,0
414.8,0.00796,0
414.9,0.00806,0
415,0.00806,0
415.1,0.00806,0
415.2,0.00817,0
415.3,0.00817,0
415.4,0.00828,0
415.5,0.00838,0
415.6,0.00838,0
415.7,0.00838,0
415.8,0.00849,0
415.9,0.00849,0
416,0.00849,0
416.1,0.00849,0
416.2,0.00859,0
416.3,0.0087,0
416.4,0.0087,0
416.5,0.0087,0
416.6,0.00881,0
416.7,0.00891,0
416.8,0.00891,0
416.9,0.00902,0
417,0.00912,0
417.1,0.00923,0
417.2,0.00912,0
417.3,0.00923,0
417.4,0.00923,0
417.5,0.00934,0
417.6,0.00944,0
417.7,0.00944,0
417.8,0.00944,0
417.9,0.00955,0
418,0.00955,0
418.1,0.00966,0
418.2,0.00976,0
418.3,0.00987,0
418.4,0.00997,0
418.5,0.00997,0
418.6,0.01008,0
418.7,0.01008,0
418.8,0.01019,0
418.9,0.01029,0
419,0.0104,0
419.1,0.01029,0
419.2,0.0105,0
419.3,0.0105,0
419.4,0.0105,0
419.5,0.01061,0
419.6,0.01072,0
419.7,0.01082,0
419.8,0.01093,0
419.9,0.01093,0
420,0.01103,0
420.1,0.01114,0
420.2,0.01125,0
420.3,0.01125,0
420.4,0.01125,0
420.5,0.01135,0
420.6,0.01146,0
420.7,0.01135,0
420.8,0.01156,0
420.9,0.01167,0
421,0.01167,0
421.1,0.01167,0
421.2,0.01178,0
421.3,0.01178,0
421.4,0.01188,0
421.5,0.01199,0
421.6,0.0121,0
421.7,0.0121,0
421.8,0.0122,0
421.9,0.0122,0
422,0.01231,0
422.1,0.01241,0
422.2,0.01252,0
422.3,0.01263,0
422.4,0.01263,0
422.5,0.01273,0
422.6,0.01273,0
422.7,0.01284,0
422.8,0.01294,0
422.9,0.01305,0
423,0.01316,0
423.1,0.01316,0
423.2,0.01337,0
423.3,0.01337,0
423.4,0.01347,0
423.5,0.01358,0
423.6,0.01369,0
423.7,0.01369,0
423.8,0.01379,0
423.9,0.0139,0
424,0.01401,0
424.1,0.01411,0
424.2,0.01422,0
424.3,0.01422,0
424.4,0.01432,0
424.5,0.01443,0
424.6,0.01464,0
424.7,0.01475,0
424.8,0.01485,0
424.9,0.01496,0
425,0.01496,0
425.1,0.01507,0
425.2,0.01517,0
425.3,0.01517,0
425.4,0.01538,0
425.5,0.01549,0
425.6,0.01549,0
425.7,0.0156,0
425.8,0.0156,0
425.9,0.0156,0
426,0.01581,0
426.1,0.01592,0
426.2,0.01592,0
426.3,0.01602,0
426.4,0.01613,0
426.5,0.01623,0
426.6,0.01634,0
426.7,0.01645,0
426.8,0.01655,0
426.9,0.01666,0
427,0.01676,0
427.1,0.01687,0
427.2,0.01698,0
427.3,0.01708,0
427.4,0.01719,0
427.5,0.0174,0
427.6,0.01751,0
427.7,0.01751,0
427.8,0.01761,0
427.9,0.01772,0
428,0.01782,0
428.1,0.01804,0
428.2,0.01814,0
428.3,0.01825,0
428.4,0.01825,0
428.5,0.01836,0
428.6,0.01846,0
428.7,0.01857,0
428.8,0.01867,0
428.9,0.01889,0
429,0.01899,0
429.1,0.01899,0
429.2,0.0191,0
429.3,0.0192,0
429.4,0.01942,0
429.5,0.01952,0
429.6,0.01963,0
429.7,0.01973,0
429.8,0.01984,0
429.9,0.01995,0
430,0.02016,0
430.1,0.02027,0
430.2,0.02037,0
430.3,0.02048,0
430.4,0.02058,0
430.5,0.02069,0
430.6,0.0208,0
430.7,0.02101,0
430.8,0.02111,0
430.9,0.02122,0
431,0.02133,0
431.1,0.02143,0
431.2,0.02154,0
431.3,0.02164,0
431.4,0.02186,0
431.5,0.02196,0
431.6,0.02218,0
431.7,0.02228,0
431.8,0.02239,0
431.9,0.02249,0
432,0.0226,0
432.1,0.02281,0
432.2,0.02281,0
432.3,0.02292,0
432.4,0.02313,0
432.5,0.02334,0
432.6,0.02345,0
432.7,0.02366,0
432.8,0.02377,0
432.9,0.02398,0
433,0.02408,0
433.1,0.02419,0
433.2,0.0244,0
433.3,0.02451,0
433.4,0.02472,0
433.5,0.02493,0
433.6,0.02504,0
433.7,0.02515,0
433.8,0.02536,0
433.9,0.02546,0
434,0.02557,0
434.1,0.02578,0
434.2,0.02589,0
434.3,0.02599,0
434.4,0.02631,0
434.5,0.02642,0
434.6,0.02653,0
434.7,0.02674,0
434.8,0.02695,0
434.9,0.02706,0
435,0.02727,0
435.1,0.02737,0
435.2,0.02748,0
435.3,0.02769,0
435.4,0.0279,0
435.5,0.02812,0
435.6,0.02833,0
435.7,0.02844,0
435.8,0.02844,0
435.9,0.02875,0
436,0.02886,0
436.1,0.02907,0
436.2,0.02928,0
436.3,0.02939,0
436.4,0.0296,0
436.5,0.02971,0
436.6,0.02992,0
436.7,0.03013,0
436.8,0.03034,0
436.9,0.03056,0
437,0.03077,0
437.1,0.03088,0
437.2,0.03109,0
437.3,0.03119,0
437.4,0.03141,0
437.5,0.03162,0
437.6,0.03183,0
437.7,0.03204,0
437.8,0.03215,0
437.9,0.03236,0
438,0.03257,0
438.1,0.03289,0
438.2,0.0331,0
438.3,0.03321,0
438.4,0.03332,0
438.5,0.03363,0
438.6,0.03385,0
438.7,0.03406,0
438.8,0.03427,0
438.9,0.03448,0
439,0.03469,0
439.1,0.03491,0
439.2,0.03512,0
439.3,0.03533,0
439.4,0.03554,0
439.5,0.03586,0
439.6,0.03607,0
439.7,0.03618,0
439.8,0.0365,0
439.9,0.03671,0
440,0.03692,0
440.1,0.03714,0
440.2,0.03745,0
440.3,0.03767,0
440.4,0.03788,0
440.5,0.03798,0
440.6,0.0382,0
440.7,0.03851,0
440.8,0.03873,0
440.9,0.03894,0
441,0.03915,0
441.1,0.03936,0
441.2,0.03958,0
441.3,0.03979,0
441.4,0.04011,0
441.5,0.04032,0
441.6,0.04064,0
441.7,0.04085,0
441.8,0.04106,0
441.9,0.04127,0
442,0.04159,0
442.1,0.04191,0
442.2,0.04212,0
442.3,0.04244,0
442.4,0.04265,0
442.5,0.04286,0
442.6,0.04318,0
442.7,0.0434,0
442.8,0.04371,0
442.9,0.04393,0
443,0.04424,0
443.1,0.04446,0
443.2,0.04477,0
443.3,0.04509,0
443.4,0.04541,0
443.5,0.04573,0
443.6,0.04605,0
443.7,0.04626,0
443.8,0.04647,0
443.9,0.04679,0
444,0.04711,0
444.1,0.04743,0
444.2,0.04775,0
444.3,0.04796,0
444.4,0.04828,0
444.5,0.04859,0
444.6,0.04881,0
444.7,0.04912,0
444.8,0.04955,0
444.9,0.04987,0
445,0.05008,0
445.1,0.05029,0
445.2,0.05072,0
445.3,0.05093,0
445.4,0.05125,0
445.5,0.05156,0
445.6,0.05199,0
445.7,0.05231,0
445.8,0.05263,0
445.9,0.05294,0
446,0.05326,0
446.1,0.05358,0
446.2,0.0539,0
446.3,0.05422,0
446.4,0.05454,0
446.5,0.05496,0
446.6,0.05538,0
446.7,0.05581,0
446.8,0.05613,0
446.9,0.05645,0
447,0.05676,0
447.1,0.05708,0
447.2,0.05751,0
447.3,0.05782,0
447.4,0.05825,0
447.5,0.05867,0
447.6,0.05899,0
447.7,0.05942,0
447.8,0.05973,0
447.9,0.06005,0
448,0.06037,0
448.1,0.0608,0
448.2,0.06122,0
448.3,0.06154,0
448.4,0.06186,0
448.5,0.06228,0
448.6,0.06271,0
448.7,0.06313,0
448.8,0.06345,0
448.9,0.06387,0
449,0.0643,0
449.1,0.06462,0
449.2,0.06504,0
449.3,0.06536,0
449.4,0.06578,0
449.5,0.06621,0
449.6,0.06653,0
449.7,0.06695,0
449.8,0.06737,0
449.9,0.0679,0
450,0.06833,0
450.1,0.06886,0
450.2,0.06918,0
450.3,0.0696,0
450.4,0.06992,0
450.5,0.07034,0
450.6,0.07077,0
450.7,0.0713,0
450.8,0.07172,0
450.9,0.07215,0
451,0.07257,0
451.1,0.073,0
451.2,0.07332,0
451.3,0.07374,0
451.4,0.07416,0
451.5,0.07459,0
451.6,0.07501,0
451.7,0.07544,0
451.8,0.07586,0
451.9,0.07629,0
452,0.07692,0
452.1,0.07735,0
452.2,0.07777,0
452.3,0.0782,0
452.4,0.07862,0
452.5,0.07905,0
452.6,0.07958,0
452.7,0.08,0
452.8,0.08042,0
452.9,0.08085,0
453,0.08149,0
453.1,0.08191,0
453.2,0.08244,0
453.3,0.08308,0
453.4,0.0835,0
453.5,0.08393,0
453.6,0.08424,0
453.7,0.08477,0
453.8,0.0852,0
453.9,0.08584,0
454,0.08626,0
454.1,0.0869,0
454.2,0.08743,0
454.3,0.08785,0
454.4,0.08838,0
454.5,0.08891,0
454.6,0.08944,0
454.7,0.08987,0
454.8,0.0905,0
454.9,0.09114,0
455,0.09156,0
455.1,0.0921,0
455.2,0.09273,0
455.3,0.09316,0
455.4,0.09379,0
455.5,0.09432,0
455.6,0.09496,0
455.7,0.09549,0
455.8,0.09623,0
455.9,0.09676,0
456,0.0974,0
456.1,0.09804,0
456.2,0.09867,0
456.3,0.09931,0
456.4,0.09995,0
456.5,0.10069,0
456.6,0.10143,0
456.7,0.10218,0
456.8,0.10281,0
456.9,0.10345,0
457,0.10398,0
457.1,0.10462,0
457.2,0.10536,0
457.3,0.10599,0
457.4,0.10684,0
457.5,0.10759,0
457.6,0.10833,0
457.7,0.10886,0
457.8,0.1096,0
457.9,0.11024,0
458,0.11109,0
458.1,0.11194,0
458.2,0.11268,0
458.3,0.11332,0
458.4,0.11416,0
458.5,0.11491,0
458.6,0.11576,0
458.7,0.1166,0
458.8,0.11745,0
458.9,0.1182,0
459,0.11905,0
459.1,0.11968,0
459.2,0.12053,0
459.3,0.12149,0
459.4,0.12233,0
459.5,0.12318,0
459.6,0.12414,0
459.7,0.12499,0
459.8,0.12594,0
459.9,0.1269,0
460,0.12785,0
460.1,0.12881,0
460.2,0.12966,0
460.3,0.13061,0
460.4,0.13146,0
460.5,0.13241,0
460.6,0.13337,0
460.7,0.13443,0
460.8,0.13538,0
460.9,0.13634,0
461,0.13729,0
461.1,0.13825,0
461.2,0.1392,0
461.3,0.14016,0
461.4,0.14111,0
461.5,0.14218,0
461.6,0.14313,0
461.7,0.14408,0
461.8,0.14504,0
461.9,0.1461,0
462,0.14716,0
462.1,0.14822,0
462.2,0.14928,0
462.3,0.15024,0
462.4,0.1513,0
462.5,0.15236,0
462.6,0.15342,0
462.7,0.15448,0
462.8,0.15554,0
462.9,0.1566,0
463,0.15756,0
463.1,0.15862,0
463.2,0.15989,0
463.3,0.16106,0
463.4,0.16212,0
463.5,0.16318,0
463.6,0.16414,0
463.7,0.16509,0
463.8,0.16615,0
463.9,0.16721,0
464,0.16838,0
464.1,0.16944,0
464.2,0.1705,0
464.3,0.17156,0
464.4,0.17263,0
464.5,0.17358,0
464.6,0.17464,0
464.7,0.1757,0
464.8,0.17676,0
464.9,0.17782,0
465,0.17889,0
465.1,0.17984,0
465.2,0.1809,0
465.3,0.18196,0
465.4,0.18302,0
465.5,0.18408,0
465.6,0.18504,0
465.7,0.1861,0
465.8,0.18706,0
465.9,0.18812,0
466,0.18918,0
466.1,0.19013,0
466.2,0.19119,0
466.3,0.19215,0
466.4,0.193,0
466.5,0.19416,0
466.6,0.19523,0
466.7,0.19618,0
466.8,0.19714,0
466.9,0.19798,0
467,0.19883,0
467.1,0.19968,0
467.2,0.20064,0
467.3,0.20149,0
467.4,0.20244,0
467.5,0.20329,0
467.6,0.20414,0
467.7,0.20499,0
467.8,0.20573,0
467.9,0.20658,0
468,0.20743,0
468.1,0.20817,0
468.2,0.20902,0
468.3,0.20987,0
468.4,0.21061,0
468.5,0.21135,0
468.6,0.2122,0
468.7,0.21305,0
468.8,0.21379,0
468.9,0.21464,0
469,0.21528,0
469.1,0.21602,0
469.2,0.21676,0
469.3,0.21751,0
469.4,0.21804,0
469.5,0.21878,0
469.6,0.21931,0
469.7,0.22005,0
469.8,0.2208,0
469.9,0.22164,0
470,0.22239,0
470.1,0.22302,0
470.2,0.22355,0
470.3,0.22398,0
470.4,0.22451,0
470.5,0.22536,0
470.6,0.22589,0
470.7,0.22653,0
470.8,0.22706,0
470.9,0.22769,0
471,0.22812,0
471.1,0.22865,0
471.2,0.22918,0
471.3,0.22971,0
471.4,0.23024,0
471.5,0.23077,0
471.6,0.23119,0
471.7,0.23172,0
471.8,0.23215,0
471.9,0.23268,0
472,0.23321,0
472.1,0.23374,0
472.2,0.23427,0
472.3,0.23469,0
472.4,0.23523,0
472.5,0.23576,0
472.6,0.23618,0
472.7,0.2366,0
472.8,0.23714,0
472.9,0.23756,0
473,0.23798,0
473.1,0.23841,0
473.2,0.23915,0
473.3,0.23979,0
473.4,0.24032,0
473.5,0.24074,0
473.6,0.24106,0
473.7,0.24138,0
473.8,0.24191,0
473.9,0.24244,0
474,0.24297,0
474.1,0.2435,0
474.2,0.24403,0
474.3,0.24446,0
474.4,0.24499,0
474.5,0.24541,0
474.6,0.24594,0
474.7,0.24658,0
474.8,0.247,0
474.9,0.24753,0
475,0.24817,0
475.1,0.2487,0
475.2,0.24923,0
475.3,0.24976,0
475.4,0.2504,0
475.5,0.25093,0
475.6,0.25146,0
475.7,0.25199,0
475.8,0.25252,0
475.9,0.25316,0
476,0.25379,0
476.1,0.25443,0
476.2,0.25496,0
476.3,0.2556,0
476.4,0.25623,0
476.5,0.25708,0
476.6,0.25793,0
476.7,0.25867,0
476.8,0.25931,0
476.9,0.25995,0
477,0.26037,0
477.1,0.26111,0
477.2,0.26186,0
477.3,0.2626,0
477.4,0.26334,0
477.5,0.26408,0
477.6,0.26472,0
477.7,0.26536,0
477.8,0.2661,0
477.9,0.26695,0
478,0.26769,0
478.1,0.26844,0
478.2,0.26928,0
478.3,0.27003,0
478.4,0.27077,0
478.5,0.27172,0
478.6,0.27257,0
478.7,0.27342,0
478.8,0.27416,0
478.9,0.27501,0
479,0.27586,0
479.1,0.27671,0
479.2,0.27756,0
479.3,0.27841,0
479.4,0.27926,0
479.5,0.28011,0
479.6,0.28095,0
479.7,0.2817,0
479.8,0.28276,0
479.9,0.28393,0
480,0.28499,0
480.1,0.28584,0
480.2,0.28668,0
480.3,0.28743,0
480.4,0.28828,0
480.5,0.28923,0
480.6,0.29019,0
480.7,0.29103,0
480.8,0.29199,0
480.9,0.29284,0
481,0.29379,0
481.1,0.29464,0
481.2,0.2956,0
481.3,0.29645,0
481.4,0.2974,0
481.5,0.29825,0
481.6,0.2992,0
481.7,0.30005,0
481.8,0.30101,0
481.9,0.30196,0
482,0.30292,0
482.1,0.30387,0
482.2,0.30472,0
482.3,0.30568,0
482.4,0.30663,0
482.5,0.30769,0
482.6,0.30865,0
482.7,0.3095,0
482.8,0.31045,0
482.9,0.3113,0
483,0.31215,0
483.1,0.3131,0
483.2,0.31427,0
483.3,0.31544,0
483.4,0.31639,0
483.5,0.31724,0
483.6,0.31798,0
483.7,0.31873,0
483.8,0.31968,0
483.9,0.32074,0
484,0.3217,0
484.1,0.32265,0
484.2,0.3235,0
484.3,0.32435,0
484.4,0.32531,0
484.5,0.32626,0
484.6,0.32721,0
484.7,0.32828,0
484.8,0.32912,0
484.9,0.32997,0
485,0.33082,0
485.1,0.33167,0
485.2,0.33263,0
485.3,0.33358,0
485.4,0.33454,0
485.5,0.33549,0
485.6,0.33645,0
485.7,0.3374,0
485.8,0.33836,0
485.9,0.33931,0
486,0.34027,0
486.1,0.34122,0
486.2,0.34207,0
486.3,0.34302,0
486.4,0.34387,0
486.5,0.34515,0
486.6,0.34642,0
486.7,0.34748,0
486.8,0.34833,0
486.9,0.34928,0
487,0.35003,0
487.1,0.35098,0
487.2,0.35204,0
487.3,0.353,0
487.4,0.35395,0
487.5,0.35501,0
487.6,0.35597,0
487.7,0.35692,0
487.8,0.35788,0
487.9,0.35883,0
488,0.35989,0
488.1,0.36085,0
488.2,0.36191,0
488.3,0.36286,0
488.4,0.36382,0
488.5,0.36488,0
488.6,0.36584,0
488.7,0.3669,0
488.8,0.36785,0
488.9,0.36891,0
489,0.36997,0
489.1,0.37103,0
489.2,0.3721,0
489.3,0.37305,0
489.4,0.37411,0
489.5,0.37507,0
489.6,0.37613,0
489.7,0.37708,0
489.8,0.37836,0
489.9,0.37973,0
490,0.38111,0
490.1,0.38207,0
490.2,0.38302,0
490.3,0.38387,0
490.4,0.38483,0
490.5,0.38589,0
490.6,0.38695,0
490.7,0.38801,0
490.8,0.38907,0
490.9,0.39013,0
491,0.39119,0
491.1,0.39225,0
491.2,0.39321,0
491.3,0.39427,0
491.4,0.39523,0
491.5,0.39629,0
491.6,0.39735,0
491.7,0.3983,0
491.8,0.39947,0
491.9,0.40053,0
492,0.4017,0
492.1,0.40276,0
492.2,0.40393,0
492.3,0.40499,0
492.4,0.40605,0
492.5,0.40721,0
492.6,0.40828,0
492.7,0.40934,0
492.8,0.41029,0
492.9,0.41125,0
493,0.41241,0
493.1,0.41337,0
493.2,0.41485,0
493.3,0.41623,0
493.4,0.41729,0
493.5,0.41825,0
493.6,0.4191,0
493.7,0.41995,0
493.8,0.42111,0
493.9,0.42218,0
494,0.42324,0
494.1,0.4243,0
