##Type: Dye
##Name: mScarlet3
Extinction coefficient: 104000
Quantum Yield: 0.75
wavelength,absorption,emission
260,0.334300011,0
261,0.344300002,0
262,0.354299992,0
263,0.368200004,0
264,0.382099986,0
265,0.395900011,0
266,0.409700006,0
267,0.424100012,0
268,0.438600004,0
269,0.450199991,0
270,0.461899996,0
271,0.473500013,0
272,0.485100001,0
273,0.495000005,0
274,0.504899979,0
275,0.512899995,0
276,0.520900011,0
277,0.524699986,0
278,0.528599977,0
279,0.529100001,0
280,0.529600024,0
281,0.529699981,0
282,0.529699981,0
283,0.518899977,0
284,0.508099973,0
285,0.484899998,0
286,0.461600006,0
287,0.438300014,0
288,0.414999992,0
289,0.399800003,0
290,0.384600013,0
291,0.362300009,0
292,0.340000004,0
293,0.307500005,0
294,0.274899989,0
295,0.2456,0
296,0.216299996,0
297,0.1963,0
298,0.176300004,0
299,0.162400007,0
300,0.148599997,0
301,0.1347,0
302,0.120800003,0
303,0.111199997,0
304,0.101599999,0
305,0.093900003,0
306,0.086199999,0
307,0.080899999,0
308,0.0757,0
309,0.071599998,0
310,0.067500003,0
311,0.065700002,0
312,0.063900001,0
313,0.063199997,0
314,0.062399998,0
315,0.062799998,0
316,0.063199997,0
317,0.064400002,0
318,0.0656,0
319,0.067599997,0
320,0.069600001,0
321,0.071999997,0
322,0.074299999,0
323,0.076099999,0
324,0.078000002,0
325,0.080300003,0
326,0.082599998,0
327,0.0854,0
328,0.088100001,0
329,0.0911,0
330,0.094099998,0
331,0.097000003,0
332,0.100000001,0
333,0.103399999,0
334,0.106799997,0
335,0.111100003,0
336,0.115400001,0
337,0.118299998,0
338,0.121200003,0
339,0.122100003,0
340,0.123000003,0
341,0.120999999,0
342,0.119000003,0
343,0.115900002,0
344,0.1127,0
345,0.108099997,0
346,0.103500001,0
347,0.098899998,0
348,0.094300002,0
349,0.090400003,0
350,0.086499996,0
351,0.081200004,0
352,0.075800002,0
353,0.074100003,0
354,0.072300002,0
355,0.071099997,0
356,0.07,0
357,0.068000004,0
358,0.066,0
359,0.0647,0
360,0.063500002,0
361,0.061999999,0
362,0.0605,0
363,0.059099998,0
364,0.057799999,0
365,0.0559,0
366,0.054099999,0
367,0.051800001,0
368,0.049400002,0
369,0.0484,0
370,0.047499999,0
371,0.045600001,0
372,0.043699998,0
373,0.0414,0
374,0.039099999,0
375,0.0372,0
376,0.035399999,0
377,0.034200002,0
378,0.033,0
379,0.031500001,0
380,0.030099999,0
381,0.029100001,0
382,0.028100001,0
383,0.026699999,0
384,0.0253,0
385,0.0229,0
386,0.0206,0
387,0.0195,0
388,0.0185,0
389,0.0178,0
390,0.017100001,0
391,0.0162,0
392,0.0153,0
393,0.0145,0
394,0.0138,0
395,0.013,0
396,0.0122,0
397,0.0117,0
398,0.0112,0
399,0.0103,0
400,0.0094,0
401,0.0091,0
402,0.0088,0
403,0.0088,0
404,0.0088,0
405,0.0086,0
406,0.0084,0
407,0.0077,0
408,0.007,0
409,0.0074,0
410,0.0077,0
411,0.0077,0
412,0.0077,0
413,0.0077,0
414,0.0077,0
415,0.0077,0
416,0.0077,0
417,0.008,0
418,0.0083,0
419,0.0085,0
420,0.0088,0
421,0.009,0
422,0.0092,0
423,0.0096,0
424,0.01,0
