##Type: Dye
##Name: mStayGold
Extinction coefficient: 164000
Quantum Yield: 0.83
wavelength,absorption,emission
351,0.0026,0
352,0.0027,0
353,0.0028,0
354,0.0029,0
355,0.003,0
356,0.003,0
357,0.0028,0
358,0.003,0
359,0.0031,0
360,0.0031,0
361,0.0031,0
362,0.0033,0
363,0.0034,0
364,0.0034,0
365,0.0035,0
366,0.0034,0
367,0.0035,0
368,0.0036,0
369,0.0036,0
370,0.0039,0
371,0.0039,0
372,0.0041,0
373,0.0041,0
374,0.0044,0
375,0.0042,0
376,0.0044,0
377,0.0046,0
378,0.0046,0
379,0.0049,0
380,0.005,0
381,0.0052,0
382,0.0052,0
383,0.0055,0
384,0.0055,0
385,0.0057,0
386,0.0059,0
387,0.006,0
388,0.0062,0
389,0.0063,0
390,0.0067,0
391,0.0068,0
392,0.0072,0
393,0.0072,0
394,0.0079,0
395,0.0078,0
396,0.0082,0
397,0.0085,0
398,0.009,0
399,0.0093,0
400,0.0097,0
401,0.0103,0
402,0.0106,0
403,0.0113,0
404,0.0117,0
405,0.0124,0
406,0.0126,0
407,0.0137,0
408,0.0138,0
409,0.0142,0
410,0.015,0
411,0.0156,0
412,0.016799999,0
413,0.017999999,0
414,0.0186,0
415,0.0198,0
416,0.0206,0
417,0.0218,0
418,0.022700001,0
419,0.023800001,0
420,0.025,0
421,0.0262,0
422,0.028000001,0
423,0.029300001,0
424,0.031599998,0
425,0.032900002,0
426,0.0348,0
427,0.037099998,0
428,0.0392,0
429,0.041700002,0
430,0.045000002,0
431,0.047899999,0
432,0.051100001,0
433,0.054200001,0
434,0.057300001,0
435,0.0614,0
436,0.065099999,0
437,0.068899997,0
438,0.073299997,0
439,0.077399999,0
440,0.080700003,0
441,0.0858,0
442,0.090899996,0
443,0.096299998,0
444,0.102399997,0
445,0.107500002,0
446,0.112899996,0
447,0.120300002,0
448,0.126399994,0
449,0.133000001,0
450,0.140200004,0
451,0.149200007,0
452,0.157600001,0
453,0.167600006,0
454,0.177499995,0
455,0.190200001,0
456,0.202500001,0
457,0.216499999,0
458,0.231000006,0
459,0.248199999,0
460,0.264499992,0.0143
461,0.282599986,0.0096
462,0.300000012,0.0049
463,0.319799989,0.0027
464,0.337300003,0.0023
465,0.355300009,0.0023
466,0.369700015,0.0023
467,0.381799996,0.0023
468,0.392800003,0.0023
469,0.401499987,0.0023
470,0.409399986,0.0023
471,0.414400011,0.0026
472,0.419400007,0.0026
473,0.421999991,0.0026
474,0.423999995,0.0028
475,0.426200002,0.0028
476,0.428900003,0.0033
477,0.434300005,0.0039
478,0.4384,0.0044
479,0.445300013,0.0054
480,0.452100009,0.0064
481,0.458999991,0.0075
482,0.468899995,0.009
483,0.48120001,0.0111
484,0.495700002,0.0135
485,0.514199972,0.016799999
486,0.537400007,0.0209
487,0.563899994,0.026699999
488,0.594500005,0.0339
489,0.628600001,0.043200001
490,0.663299978,0.054900002
491,0.698499978,0.069600001
492,0.736599982,0.088500001
493,0.774600029,0.1118
494,0.815199971,0.140499994
495,0.855099976,0.175099999
496,0.894500017,0.216600001
497,0.930400014,0.265300006
498,0.96450001,0.321700007
499,0.987500012,0.385199994
500,1,0.452800006
501,0.998600006,0.527800024
502,0.989400029,0.604700029
503,0.965600014,0.683300018
504,0.927999973,0.759199977
505,0.879999995,0.829599977
506,0.813000023,0.889500022
507,0.74970001,0.938899994
508,0.675199986,0.97299999
509,0.600399971,0.994400024
510,0.520299971,1
511,0.445800006,0.990400016
512,0.375999987,0.967599988
513,0.313600004,0.932399988
514,0.256900012,0.888700008
515,0.206799999,0.841400027
516,0.166500002,0.791000009
517,0.134299994,0.737900019
518,0.104599997,0.684899986
519,0.082099997,0.634299994
520,0.067000002,0.586600006
521,0.052200001,0.542299986
522,0.0414,0.502699971
523,0.033399999,0.467700005
524,0.0273,0.436500013
525,0.0218,0.407900006
526,0.0177,0.382499993
527,0.0147,0.360700011
528,0.0126,0.341100007
529,0.0107,0.323199987
530,0.0089,0.307799995
531,0.0074,0.294400007
532,0.0061,0.281899989
533,0.0059,0.270799994
534,0.0055,0.260399997
535,0.0049,0.250999987
536,0.0046,0.242899999
537,0.0041,0.235200003
538,0.0041,0.228
539,0.004,0.221100003
540,0.0041,0.214599997
541,0,0.208299994
542,0,0.202000007
543,0,0.196400002
544,0,0.190799996
545,0,0.184599996
546,0,0.178800002
547,0,0.171700001
548,0,0.164800003
549,0,0.157399997
550,0,0.150099993
551,0,0.142800003
552,0,0.135399997
553,0,0.127900004
554,0,0.120499998
555,0,0.113399997
556,0,0.106299996
557,0,0.099600002
558,0,0.092900001
559,0,0.086599998
560,0,0.080799997
561,0,0.075499997
562,0,0.070500001
563,0,0.065800004
564,0,0.0612
565,0,0.057300001
566,0,0.053300001
567,0,0.050000001
568,0,0.046799999
569,0,0.0438
570,0,0.041099999
571,0,0.038400002
572,0,0.035999998
573,0,0.033799998
574,0,0.0317
575,0,0.030099999
576,0,0.028200001
577,0,0.026699999
578,0,0.0255
579,0,0.0242
580,0,0.0229
581,0,0.0219
582,0,0.0208
583,0,0.0197
584,0,0.0188
585,0,0.0178
586,0,0.017000001
587,0,0.0162
588,0,0.0154
589,0,0.0148
590,0,0.0141
591,0,0.0134
592,0,0.0129
593,0,0.0121
594,0,0.0116
595,0,0.0111
596,0,0.0106
597,0,0.01
598,0,0.0095
599,0,0.009
600,0,0.0086
