##Type: Dye
##Name: sfGFP
Extinction coefficient: 83300,
Quantum Yield: 0.65,
wavelength,absorption,emission
352,0.035,0
353,0.036400001,0
354,0.037900001,0
355,0.039500002,0
356,0.041099999,0
357,0.0427,0
358,0.044399999,0
359,0.0462,0
360,0.048099998,0
361,0.050099999,0
362,0.052299999,0
363,0.0546,0
364,0.057,0
365,0.059599999,0
366,0.0623,0
367,0.064999998,0
368,0.0678,0
369,0.070500001,0
370,0.073100001,0
371,0.075599998,0
372,0.0779,0
373,0.080200002,0
374,0.082400002,0
375,0.0845,0
376,0.086599998,0
377,0.088799998,0
378,0.090899996,0
379,0.093099996,0
380,0.095200002,0
381,0.0973,0
382,0.099200003,0
383,0.100900002,0
384,0.102499999,0
385,0.104199998,0
386,0.105899997,0
387,0.107799999,0
388,0.109999999,0
389,0.112400003,0
390,0.115000002,0
391,0.117399998,0
392,0.119400002,0
393,0.121200003,0
394,0.122699998,0
395,0.124200001,0
396,0.125699997,0
397,0.127399996,0
398,0.129500002,0
399,0.131999999,0
400,0.134900004,0
401,0.137899995,0
402,0.140799999,0
403,0.143299997,0
404,0.145400003,0
405,0.147100002,0
406,0.148699999,0
407,0.150099993,0
408,0.151600003,0
409,0.153300002,0
410,0.155399993,0
411,0.158099994,0
412,0.161699995,0
413,0.165999994,0
414,0.170499995,0
415,0.174600005,0
416,0.178200006,0
417,0.181600004,0
418,0.185200006,0
419,0.189600006,0
420,0.194999993,0
421,0.2016,0
422,0.208900005,0
423,0.215100005,0
424,0.218899995,0
425,0.221499994,0
426,0.224600002,0
427,0.230000004,0
428,0.238800004,0
429,0.248500004,0
430,0.257200003,0
431,0.264800012,0
432,0.271899998,0
433,0.278899997,0
434,0.286900014,0
435,0.297199994,0
436,0.310699999,0
437,0.328299999,0
438,0.350800008,0
439,0.372900009,0
440,0.387800008,0
441,0.407099992,0
442,0.431100011,0
443,0.445499986,0
444,0.472600013,0
445,0.497599989,0
446,0.516600013,0
447,0.536000013,0
448,0.55369997,0
449,0.568700016,0
450,0.586000025,0
451,0.605300009,0
452,0.621200025,0
453,0.63380003,0
454,0.646899998,0
455,0.663500011,0
456,0.680599988,0
457,0.69599998,0
458,0.708899975,0
459,0.719699979,0
460,0.728999972,0
461,0.736999989,0
462,0.743499994,0
463,0.749300003,0
464,0.760399997,0
465,0.778299987,0
466,0.786899984,0
467,0.788200021,0
468,0.789300025,0
469,0.79610002,0.0049
470,0.81190002,0.0079
471,0.826799989,0.0106
472,0.835399985,0.0132
473,0.842800021,0.016100001
474,0.853500009,0.019400001
475,0.867299974,0.023399999
476,0.878799975,0.0284
477,0.882700026,0.0348
478,0.893000007,0.0429
479,0.91869998,0.0526
480,0.933200002,0.063500002
481,0.939599991,0.075499997
482,0.947700024,0.089100003
483,0.961799979,0.1043
484,0.976100028,0.120700002
485,0.983799994,0.138099998
486,0.990499973,0.158999994
487,0.995500028,0.189899996
488,0.995800018,0.231099993
489,0.995400012,0.265300006
490,1,0.292299986
491,0.98119998,0.328599989
492,0.948000014,0.374000013
493,0.934899986,0.412800014
494,0.917100012,0.447400004
495,0.894299984,0.494399995
496,0.863300025,0.557299972
497,0.850499988,0.607800007
498,0.782899976,0.657400012
499,0.746599972,0.705200016
500,0.702499986,0.750699997
501,0.680199981,0.804799974
502,0.644200027,0.833299994
503,0.586700022,0.878600001
504,0.539399981,0.925499976
505,0.514900029,0.945500016
506,0.466100007,0.969399989
507,0.421700001,0.989700019
508,0.385500014,0.997699976
509,0.351500005,1
510,0.314700007,0.991999984
511,0.280299991,0.975799978
512,0.248899996,0.947300017
513,0.221499994,0.913600028
514,0.200299993,0.889800012
515,0.180700004,0.858699977
516,0.160099998,0.799700022
517,0.140200004,0.799899995
518,0.122100003,0.745000005
519,0.1061,0.680299997
520,0.092500001,0.665400028
521,0.080300003,0.620899975
522,0.068800002,0.588100016
523,0.057700001,0.564599991
524,0.047899999,0.541499972
525,0.040100001,0.514900029
