## Type: dichroic
## Name: Ziva tripple band dichroic 446/518/577 (10-11042)
## emailed from Lumencor 2024/04/29
wavelength,transmission
400,1.151563168
400.5,0.9013608098
401,1.138981342
401.5,1.015280962
402,-0.2667607367
402.5,0.7457147837
403,0.5683786273
403.5,0.7741102576
404,1.604323268
404.5,1.805380702
405,2.090274811
405.5,2.299014568
406,3.833499432
406.5,3.194526672
407,3.999900341
407.5,3.611104965
408,4.352165699
408.5,4.758602142
409,5.070156097
409.5,4.983962536
410,4.838805676
410.5,5.451521873
411,4.886939526
411.5,5.097110271
412,5.077664852
412.5,5.689728737
413,5.96551466
413.5,6.580868244
414,7.274737835
414.5,7.546961308
415,8.016077042
415.5,8.862192154
416,8.154649734
416.5,8.296103477
417,8.468812943
417.5,8.474884987
418,9.819721222
418.5,11.28572941
419,13.14757633
419.5,16.06820488
420,20.20430756
420.5,25.71257973
421,31.6183815
421.5,38.59379578
422,45.73517609
422.5,53.49533463
423,60.68744659
423.5,68.0799942
424,74.44963837
424.5,79.7901535
425,84.81869507
425.5,88.70134735
426,91.63604736
426.5,93.70346069
427,94.96783447
427.5,95.52606964
428,96.27716827
428.5,96.58286285
429,96.71569061
429.5,96.60501099
430,96.76050568
430.5,96.60337067
431,96.73675537
431.5,96.8081665
432,97.01641083
432.5,97.04946136
433,97.17538452
433.5,97.33686829
434,97.5666275
434.5,97.50234985
435,97.46644592
435.5,97.44924927
436,97.62848663
436.5,97.68442535
437,97.77790833
437.5,97.481987
438,97.75865173
438.5,97.76332092
439,97.84175873
439.5,98.00489044
440,97.81666565
440.5,97.94727325
441,98.08294678
441.5,97.96890259
442,97.98941803
442.5,97.97383881
443,98.104599
443.5,97.81640625
444,97.83847809
444.5,97.93406677
445,97.98468781
445.5,97.7726593
446,97.82766724
446.5,97.67288208
447,97.70578766
447.5,97.64380646
448,97.47534943
448.5,97.59651947
449,97.67245483
449.5,97.46413422
450,97.26784515
450.5,97.2663269
451,96.93662262
451.5,95.7297821
452,94.10118103
452.5,91.85067749
453,88.24787903
453.5,83.79947662
454,78.37891388
454.5,71.97798157
455,65.16986847
455.5,58.29114914
456,51.33029175
456.5,45.16819763
457,39.66143036
457.5,34.77951431
458,30.82535172
458.5,26.85419083
459,24.1588707
459.5,20.99545097
460,18.17402649
460.5,15.19912624
461,12.6770792
461.5,9.894805908
462,7.40444231
462.5,5.081669807
463,3.512675762
463.5,2.30559206
464,1.425575614
464.5,0.9813145995
465,0.6404272914
465.5,0.5286765099
466,0.5175712109
466.5,0.4032536447
467,0.3926811814
467.5,0.254776746
468,0.4171694517
468.5,0.238407284
469,0.3514024615
469.5,0.3104199469
470,0.2910681963
470.5,0.3204167485
471,0.2216576636
471.5,0.266090095
472,0.3646688163
472.5,0.2652231455
473,0.3404165506
473.5,0.3066165745
474,0.312435776
474.5,0.3526175022
475,0.2125656903
475.5,0.2963742614
476,0.314838171
476.5,0.3308443427
477,0.3185993135
477.5,0.428738296
478,0.2987320721
478.5,0.3534946442
479,0.2659193575
479.5,0.4141866267
480,0.3821936548
480.5,0.4363429844
481,0.5896492004
481.5,0.3972184956
482,0.4684259295
482.5,0.4779542685
483,0.5969772935
483.5,0.5070228577
484,0.3841868043
484.5,0.6809375882
485,0.3372464776
485.5,0.3406958878
486,0.3558733463
486.5,0.3958901763
487,0.4429193139
487.5,0.3575375676
488,0.4099683762
488.5,0.4418159425
489,0.3760506213
489.5,0.4794439673
490,0.5044559836
490.5,0.3703656793
491,0.4268705845
491.5,0.3766666055
492,0.6203607321
492.5,0.4963019788
493,0.4797936082
493.5,0.4579685628
494,0.4924892783
494.5,0.5069702268
495,0.3485081494
495.5,0.4492889643
496,0.4569471478
496.5,0.443772167
497,0.5823529959
497.5,1.030691266
498,1.494927764
498.5,2.171266556
499,3.454445362
499.5,4.893387318
500,6.861804962
500.5,8.983430862
501,11.3906765
501.5,14.36842537
502,17.02511597
502.5,19.98983574
503,23.0211277
503.5,26.28537369
504,29.81390381
504.5,33.79364395
505,38.38536835
505.5,43.66735077
506,49.46794891
506.5,55.89336777
507,62.40636826
507.5,68.77714539
508,74.98134613
508.5,80.40990448
509,85.12903595
509.5,89.17537689
510,92.07389069
510.5,94.29917145
511,95.820961
511.5,96.76605225
512,97.41703033
512.5,97.76525116
513,97.90499115
513.5,97.97362518
514,97.99868011
514.5,98.06428528
515,97.96935272
515.5,97.97164917
516,97.97457123
516.5,98.10832977
517,97.96538544
517.5,97.87017059
518,97.84394836
518.5,97.73959351
519,97.85923767
519.5,97.67274475
520,97.59801483
520.5,97.50533295
521,97.41334534
521.5,97.44384003
522,97.33164978
522.5,97.30247498
523,97.49531555
523.5,97.37973022
524,97.32741547
524.5,97.04595947
525,96.54321289
525.5,95.61573029
526,94.19374084
526.5,92.146698
527,89.41401672
527.5,86.01268768
528,81.86700439
528.5,76.81119537
529,71.28887177
529.5,65.36579132
530,58.87147903
530.5,52.47909546
531,45.81115341
531.5,39.41243744
532,33.37676239
532.5,27.61325264
533,22.40808868
533.5,17.71409416
534,13.63793755
534.5,10.42587471
535,7.554887772
535.5,5.485658169
536,3.732826471
536.5,2.600806475
537,1.820976615
537.5,1.364756942
538,0.8900784254
538.5,0.6421011686
539,0.5496062636
539.5,0.5316999555
540,0.4243634641
540.5,0.3419342637
541,0.3133510351
541.5,0.2516160309
542,0.3274510205
542.5,0.3129856288
543,0.03873155639
543.5,0.2964421511
544,0.2556861043
544.5,0.2058086395
545,0.2940313518
545.5,0.2816607952
546,0.2888573706
546.5,0.290682435
547,0.2660993934
547.5,0.2782737315
548,0.1355508864
548.5,0.2726179361
549,0.2929690182
549.5,0.1816890389
550,0.2839560807
550.5,0.2358662635
551,0.2110034227
551.5,0.2768611014
552,0.2368378192
552.5,0.3535622358
553,0.2978527248
553.5,0.3335337639
554,0.5258199573
554.5,0.5871629715
555,0.8640580773
555.5,1.22315073
556,1.848525882
556.5,2.721811056
557,4.181147099
557.5,5.707698822
558,7.80152607
558.5,10.16535664
559,12.73540688
559.5,15.72528744
560,18.62526131
560.5,21.54683304
561,24.54511452
561.5,27.68690872
562,30.78933334
562.5,34.21497726
563,38.08855438
563.5,42.41202927
564,47.32014847
564.5,52.61225891
565,58.45198059
565.5,64.16652679
566,69.94711304
566.5,75.51751709
567,80.41034698
567.5,84.8580246
568,88.29185486
568.5,91.24199677
569,93.24976349
569.5,94.76976776
570,95.74267578
570.5,96.48643494
571,96.75959778
571.5,96.7844162
572,97.00706482
572.5,96.95178223
573,96.93161011
573.5,96.92193604
574,96.80778503
574.5,96.84498596
575,96.82778931
575.5,96.83062744
576,96.88053131
576.5,96.92324066
577,96.96510315
577.5,97.07402802
578,97.10692596
578.5,97.03163147
579,97.11997223
579.5,97.09125519
580,97.04465485
580.5,97.08947754
581,97.03529358
581.5,96.79620361
582,96.45568848
582.5,96.01960754
583,95.43589783
583.5,94.54546356
584,93.26041412
584.5,91.58179474
585,89.44410706
585.5,86.81070709
586,83.63900757
586.5,79.90042877
587,75.87493134
587.5,71.50640869
588,66.87693024
588.5,62.09886551
589,57.12847137
589.5,52.3458252
590,47.60719299
590.5,42.89448166
591,38.35732269
591.5,33.97093582
592,29.62048721
592.5,25.56532097
593,21.60112572
593.5,17.97790718
594,14.70329762
594.5,11.72482014
595,9.250136375
595.5,7.032336235
596,5.177711964
596.5,3.953487396
597,2.845530033
597.5,2.012323141
598,1.497019529
598.5,1.125912428
599,0.8792435527
599.5,0.6517806649
600,0.5190606713
600.5,0.4385348856
601,0.3600619137
601.5,0.3109740913
602,0.2569000423
602.5,0.2507041395
603,0.2553409338
603.5,0.2387136221
604,0.2366673648
604.5,0.2087642252
605,0.1978882998
605.5,0.1660616845
606,0.2374303043
606.5,0.1545007825
607,0.1487079412
607.5,0.1674486399
608,0.170792982
608.5,0.2300776541
609,0.1515339315
609.5,0.1799248904
610,0.2366961688
610.5,0.1730687469
611,0.2066224068
611.5,0.1674646139
612,0.2409107536
612.5,0.2713345289
613,0.2627179623
613.5,0.2813525498
614,0.3126747012
614.5,0.2903777361
615,0.3076881766
615.5,0.3624742031
616,0.355912596
616.5,0.3158907592
617,0.2901946306
617.5,0.3152025938
618,0.3007203639
618.5,0.2619011998
619,0.1995340735
619.5,0.3090819716
620,0.1458358616
620.5,0.1728824079
621,0.1636985242
621.5,0.1985277683
622,0.1376896352
622.5,0.178401202
623,0.1288144439
623.5,0.1637524962
624,0.1491470337
624.5,0.166756317
625,0.1269257069
625.5,0.1554467976
626,0.1571055651
626.5,0.121344775
627,0.1319087297
627.5,0.1179781482
628,0.1240758821
628.5,0.1193995103
629,0.1457605213
629.5,0.1218307316
630,0.1597753763
630.5,0.1226342544
631,0.09877651185
631.5,0.1028801799
632,0.1144202203
632.5,0.1667246372
633,0.1331892908
633.5,0.130520016
634,0.1475313604
634.5,0.1057153344
635,0.1924777925
635.5,0.1280645728
636,0.1077033579
636.5,0.09737978876
637,0.1491858512
637.5,0.1614961773
638,0.1389873028
638.5,0.1679761559
639,0.2150161266
639.5,0.2569189966
640,0.2757301927
640.5,0.2999988198
641,0.2761718035
641.5,0.3288108408
642,0.3019318581
642.5,0.3101071715
643,0.3304126263
643.5,0.2524951994
644,0.2829325199
644.5,0.2528359294
645,0.1833168268
645.5,0.1846716255
646,0.1509593725
646.5,0.1314654648
647,0.1250657588
647.5,0.1548451781
648,0.1221296936
648.5,0.1196487099
649,0.1362852752
649.5,0.1096633151
650,0.07925212383
650.5,0.1165563837
651,0.1030104086
651.5,0.1167376861
652,0.131410867
652.5,0.1875139773
653,0.2447428405
653.5,0.3393302262
654,0.4771047235
654.5,0.65234375
655,0.820297718
655.5,1.04909265
656,1.286143303
656.5,1.492236137
657,1.642744303
657.5,1.743113637
658,1.739270568
658.5,1.724226952
659,1.654483199
659.5,1.494376421
660,1.276012778
660.5,1.076610804
661,0.8724430799
661.5,0.6647526026
662,0.5046765208
662.5,0.403714329
663,0.2693721354
663.5,0.2554787993
664,0.2246428579
664.5,0.2705900371
665,0.3286808431
665.5,0.3928860724
666,0.4673707783
666.5,0.5532144308
667,0.6657369137
667.5,0.7487711906
668,0.8108730316
668.5,0.8512393832
669,0.9175314307
669.5,0.8761096001
670,0.8205381036
670.5,0.7487970591
671,0.6571934819
671.5,0.5534532666
672,0.4751847684
672.5,0.4181861281
673,0.3141944706
673.5,0.2681430578
674,0.1962584704
674.5,0.1759563088
675,0.148512274
675.5,0.1675918996
676,0.1616449505
676.5,0.1658611745
677,0.1649497449
677.5,0.209733516
678,0.2780421674
678.5,0.4448453784
679,0.5975698829
679.5,0.8071995378
680,1.074692845
680.5,1.351871967
681,1.709610939
681.5,2.024792433
682,2.352325201
682.5,2.596190453
683,2.764362812
683.5,2.782284498
684,2.777088404
684.5,2.618157148
685,2.442668438
685.5,2.136878967
686,1.821352959
686.5,1.562865019
687,1.285737991
687.5,1.050576448
688,0.8638287187
688.5,0.7609917521
689,0.787656486
689.5,0.9430272579
690,1.208948374
690.5,1.664646149
691,2.131375074
691.5,2.720283985
692,3.389484167
692.5,4.015464306
693,4.606072426
693.5,5.092602253
694,5.37045145
694.5,5.456036568
695,5.327103615
695.5,5.042481899
696,4.614738941
696.5,4.052449703
697,3.418985367
697.5,2.849871397
698,2.407792091
698.5,1.87141335
699,1.562268615
699.5,1.395989656
700,1.281144261
