## Type: filter
## Name: Ziva 445/49 (10-11100)
## emailed from Lumencor 2024/04/29
wavelength,transmission
395,0.01954653487
395.5,-0.05530237779
396,-0.002334517194
396.5,0.02895120718
397,-0.05509997904
397.5,-0.0009631735156
398,0.02765793167
398.5,0.003545453073
399,-0.03572805598
399.5,0.02503901161
400,0.004927888513
400.5,-0.02558387443
401,-0.01442648098
401.5,0.03355607763
402,-0.03361610696
402.5,-0.01683004759
403,0.03158412129
403.5,-0.03659398481
404,-0.01397499908
404.5,0.01128653158
405,0.02368503064
405.5,-0.03572914749
406,-0.01299415436
406.5,0.03521019593
407,-0.03631626442
407.5,-0.02987276204
408,0.01553259604
408.5,-0.02346625179
409,-0.02573908679
409.5,-0.004269341938
410,-0.006719739176
410.5,-0.007348060142
411,-0.0135142561
411.5,0.002067810157
412,-0.005464633927
412.5,-0.007319063414
413,-0.02204617858
413.5,0.0009030847577
414,0.02026941441
414.5,-0.007516851649
415,-0.02862307802
415.5,-0.01005873084
416,0.005068146624
416.5,-0.02339903452
417,0.005866107997
417.5,0.008997725323
418,-0.002341536805
418.5,0.05417171121
419,0.1349925846
419.5,0.3524940908
420,1.090599775
420.5,3.904876947
421,14.06195641
421.5,43.7780838
422,80.64287567
422.5,94.93651581
423,97.67460632
423.5,97.4705658
424,95.24593353
424.5,90.04119873
425,87.23428345
425.5,90.48068237
426,95.51531219
426.5,95.95658875
427,94.17195129
427.5,95.21121216
428,96.54408264
428.5,97.4131546
429,97.95149994
429.5,96.72065735
430,94.67393494
430.5,94.61950684
431,95.96259308
431.5,97.57949066
432,97.93267822
432.5,96.92564392
433,95.31199646
433.5,95.74568939
434,97.21604919
434.5,96.43247986
435,94.29362488
435.5,94.65821075
436,96.2281189
436.5,97.00424957
437,96.97332001
437.5,97.60476685
438,98.34642792
438.5,98.56611633
439,98.50016022
439.5,98.33737946
440,98.37661743
440.5,98.06620789
441,97.53426361
441.5,97.03115082
442,97.22146606
442.5,97.87791443
443,97.8200531
443.5,96.41633606
444,95.67686462
444.5,96.26225281
445,97.26533508
445.5,98.01724243
446,97.80477905
446.5,98.15499878
447,98.11820221
447.5,97.62882233
448,97.75495911
448.5,98.11198425
449,98.10231781
449.5,98.27457428
450,98.09838867
450.5,98.3603363
451,98.25979614
451.5,98.17144012
452,98.01383972
452.5,97.91915894
453,97.13899231
453.5,96.74046326
454,96.73531342
454.5,98.04930878
455,98.43228149
455.5,98.38543701
456,97.90814972
456.5,97.6447525
457,96.92461395
457.5,96.88472748
458,96.70843506
458.5,96.20035553
459,95.57515717
459.5,95.4905777
460,96.69501495
460.5,97.80857849
461,98.27844238
461.5,97.5662384
462,96.75665283
462.5,96.77387238
463,97.0298996
463.5,97.24768829
464,97.44944763
464.5,97.40171814
465,96.6675415
465.5,96.33036041
466,96.60938263
466.5,96.33277893
467,96.77441406
467.5,95.87044525
468,93.85689545
468.5,90.17085266
469,86.29972076
469.5,86.63315582
470,87.8679657
470.5,62.96089172
471,23.55039024
471.5,7.468035698
472,2.56906271
472.5,0.9390761256
473,0.399446249
473.5,0.1681315154
474,0.09044665098
474.5,0.03602862731
475,-0.00320014474
475.5,-0.007777033839
476,0.01457085181
476.5,0.009902485646
477,0.004782875534
477.5,-0.003300379496
478,-0.008885450661
478.5,0.003527164925
479,-0.01641462371
479.5,0.0004093233147
480,-0.002347547561
480.5,0.007919550873
481,-0.02398493886
481.5,-0.008035548963
482,0.01621897146
482.5,-0.01715200022
483,-0.02174009755
483.5,0.01798439957
484,-0.02029174007
484.5,-0.03506949544
485,-0.004027352203
485.5,0.02296323329
486,-0.03474297374
486.5,-0.02291604131
487,0.02380517311
487.5,-0.01907931454
488,-0.04885881394
488.5,0.0376768671
489,-0.02531877905
489.5,-0.04210468754
490,0.008356518112
490.5,0.01241827011
491,-0.06649328023
491.5,-0.01027694717
492,0.01890542172
492.5,-0.04543722793
493,-0.04423030838
493.5,0.01207802165
494,-0.003126081778
494.5,-0.06757098436
495,0.003101451555
