## Type: filter
## Name: Ziva filter 647/100 (10-11081)
## emailed from Lumencor 2024/04/29
wavelength,transmission
400,0.000101647778337188
400.5,0.000101375648717281
401,0.000101600190168263
401.5,0.0000950545245252138
402,0.0000945249513333395
402.5,0.0000956833051816397
403,0.000101260159450691
403.5,0.000104712945440954
404,0.000104617371325181
404.5,0.000110040045650749
405,0.000131508998176572
405.5,0.000164479691190748
406,0.000210537734406092
406.5,0.000248054301265948
407,0.000260954594786858
407.5,0.000234482653437426
408,0.000189072833970161
408.5,0.000145117865474544
409,0.000117825583039732
409.5,0.000104947319464636
410,0.000103292505364601
410.5,0.000107286883815623
411,0.000110404505767388
411.5,0.000118682944471922
412,0.000126910117499234
412.5,0.00012728990026599
413,0.000120621655388786
413.5,0.000113081640905335
414,0.000111261013738373
414.5,0.000115308755560197
415,0.000118268589205931
415.5,0.000114994937126866
416,0.000106746649693697
416.5,0.000104122464487025
417,0.000105711481715543
417.5,0.000111274352964429
418,0.000112568625144731
418.5,0.000114146632724563
419,0.000109582247346663
419.5,0.000106367819425622
420,0.000105078903473708
420.5,0.000107212529152229
421,0.000105423147437203
421.5,0.00010296204393759
422,0.0000977767269185567
422.5,0.0000993178819488947
423,0.0000982860799954046
423.5,0.000103905106987289
424,0.000103990464608427
424.5,0.000109616601192918
425,0.000114210056958577
425.5,0.000125418524529492
426,0.000136557109168905
426.5,0.000141736557313946
427,0.000139635945274531
427.5,0.000133099649417999
428,0.000127534890895526
428.5,0.000134554132771048
429,0.000160547599042437
429.5,0.00019452069518842
430,0.000216485173508622
430.5,0.000208091025416122
431,0.00018115817158224
431.5,0.000146926138295253
432,0.000123196109236328
432.5,0.000117317198439987
433,0.000123622428620263
433.5,0.000138324047694018
434,0.000152205348369574
434.5,0.000163489050389322
435,0.000166879330644259
435.5,0.000158031365644224
436,0.000139861788092494
436.5,0.000121886641939783
437,0.000109087291008634
437.5,0.00010596284070153
438,0.000108016639307798
438.5,0.000112900518542371
439,0.000114830981397543
439.5,0.00011309176834637
440,0.00010554300820928
440.5,0.000106363009343393
441,0.000109064659693785
441.5,0.000118053439478937
442,0.000118719772246513
442.5,0.0001175667351498
443,0.000110381366354737
443.5,0.000105111277746248
444,0.000100766619999688
444.5,0.000107124950665539
445,0.000120600411046948
445.5,0.000145992797122798
446,0.000182191131551677
446.5,0.000222419573769137
447,0.00024342045189538
447.5,0.000234327626156909
448,0.000197187280658924
448.5,0.00015309401825645
449,0.000120740737979056
449.5,0.000104090256996368
450,0.000103089485929348
450.5,0.000102657505025994
451,0.000101730403317374
451.5,0.0000979474628318059
452,0.0000942871197874553
452.5,0.0000947167453269366
453,0.0000974471144984861
453.5,0.0000983988061793271
454,0.0000954762317872766
454.5,0.0000929419833458316
455,0.0000953491147714393
455.5,0.0000972580797091443
456,0.000101990733492283
456.5,0.000103525563764162
457,0.000105870707519099
457.5,0.000106769038428812
458,0.00010958928196574
458.5,0.00011260543409181
459,0.00011171904346713
459.5,0.000107755196234352
460,0.00010258094604458
460.5,0.0000977141526228945
461,0.0000974089441571483
461.5,0.0000979740723185796
462,0.0000986778948100798
462.5,0.0000962372158545634
463,0.0000933929505018522
463.5,0.0000915031575010691
464,0.0000933681482861901
464.5,0.0000974954824291221
465,0.000102553616328067
465.5,0.000103042952858983
466,0.000102061770778511
466.5,0.0000988996121008805
467,0.000101250792543873
467.5,0.000103156750501348
468,0.000104985516734073
468.5,0.00010140682373702
469,0.0000980391175311993
469.5,0.0000942684180422968
470,0.0000937793840789192
470.5,0.0000950562379381209
471,0.0000960114981265063
471.5,0.0000947503476331387
472,0.0000924427652808363
472.5,0.0000925645122248176
473,0.0000952693176101043
473.5,0.0000969786351965669
474,0.0000974188454059287
474.5,0.0000935715393084495
475,0.0000930517470819152
475.5,0.0000962564848700506
476,0.000101500358017521
476.5,0.000106710716628789
477,0.000107956329804188
477.5,0.000106263151572278
478,0.000100413093890798
