## Type: filter
## Name: 823/100 Ziva Cy7 10-10875
## downloaded from https://lumencor.com/products/accessories/dichroic-mirrors-and-filters
wavelength,transmission
723.0,0.015046
723.5,0.0164395
724.0,0.017083
724.5,0.0122575
725.0,0.011867
725.5,0.008053
726.0,0.014184
726.5,0.0160825
727.0,0.008974
727.5,0.01861
728.0,0.015854
728.5,0.0071935
729.0,0.010053
729.5,0.0128445
730.0,0.023266
730.5,0.016151
731.0,0.012172
731.5,0.018799
732.0,0.010432
732.5,0.02037
733.0,0.016548
733.5,0.002052
734.0,0.007857
734.5,-0.0006095
735.0,0.00975
735.5,0.0200805
736.0,0.019209
736.5,0.01833
737.0,0.010779
737.5,0.0077745
738.0,0.010464
738.5,0.0053015
739.0,0.001068
739.5,0.0084465
740.0,0.01029
740.5,0.024783
741.0,0.021526
741.5,0.01725
742.0,0.027798
742.5,0.0100385
743.0,0.006446
743.5,0.009477
744.0,0.010956
744.5,0.0108135
745.0,0.011248
745.5,0.018851
746.0,0.038525
746.5,0.0232985
747.0,0.018499
747.5,0.006497
748.0,0.007036
748.5,0.004942
749.0,0.013051
749.5,0.016193
750.0,0.008292
750.5,0.012495
751.0,0.026183
751.5,0.0235315
752.0,0.011586
752.5,0.00846
753.0,0.000653
753.5,0.0099855
754.0,0.016132
754.5,0.022367
755.0,0.012093
755.5,0
756.0,0.010646
756.5,0.0117285
757.0,0.025155
757.5,0.002341
758.0,0.017771
758.5,0.0125645
759.0,0.016225
759.5,0.020927
760.0,0.01465
760.5,0.0023115
761.0,0.020551
761.5,0.0106865
762.0,0.010617
762.5,0.016346
763.0,0.022232
763.5,0.0284315
764.0,0.017763
764.5,0.028339
765.0,0.014523
765.5,0.01363
766.0,0.015792
766.5,0.0042565
767.0,0.002398
767.5,0.0144015
768.0,0.014079
768.5,0.0214165
769.0,0.004734
769.5,0.0102965
770.0,0.011786
770.5,0.028281
771.0,0.05163
771.5,0.0660475
772.0,0.116989
772.5,0.220594
773.0,0.446781
773.5,1.141062
774.0,2.965018
774.5,8.460048
