## Type: filter
## Name: Ziva penta band filter 445/531/606/691/823 (10-11059)
## emailed from Lumencor 2024/04/29
wavelength,transmission
300,-0.0003939379822
300.5,2.37E-05
301,-0.0001931816078
301.5,3.01E-05
302,0.0001615987276
302.5,-7.87E-05
303,0.0003576296731
303.5,7.38E-05
304,0.0001275265095
304.5,-1.58E-05
305,-0.0003425756004
305.5,0.0001921191142
306,0.00017190777
306.5,-0.000155109723
307,-0.0002001143876
307.5,2.30E-05
308,-0.0003489057417
308.5,-0.0003117129963
309,-0.0001497571939
309.5,-0.0001415927109
310,-9.71E-05
310.5,-8.33E-05
311,0.0002242410847
311.5,-0.0001112687751
312,-7.57E-05
312.5,-1.11E-05
313,2.51E-05
313.5,-6.32E-05
314,-0.0001326419006
314.5,0.0001157638762
315,-1.13E-05
315.5,-0.0001109969016
316,0.0002546460018
316.5,-5.18E-05
317,-8.61E-05
317.5,-5.38E-05
318,-0.0003776244412
318.5,0.0004478677874
319,-1.39E-05
319.5,0.0001015910457
320,-0.0001091173181
320.5,9.64E-05
321,0.0003568090615
321.5,-7.42E-05
322,0.000257556967
322.5,6.32E-05
323,-0.0001072836676
323.5,8.88E-05
324,6.38E-05
324.5,-5.27E-07
325,-9.47E-05
325.5,-0.000208763071
326,-0.000276628416
326.5,-9.25E-05
327,-0.0004977307981
327.5,3.57E-05
328,-4.61E-05
328.5,-5.42E-05
329,-0.0002222656622
329.5,0.0004587096919
330,0.0002823188552
330.5,0.0001054958047
331,-5.44E-05
331.5,4.08E-05
332,3.38E-05
332.5,-8.31E-05
333,-0.0002279149194
333.5,3.98E-05
334,-0.0001148602023
334.5,6.16E-05
335,0.0005479488755
335.5,-0.0004498329072
336,0.0001765099441
336.5,8.04E-05
337,0.0001365954522
337.5,-0.0002526259923
338,-0.0002225377975
338.5,-0.0003215459001
339,0.0005553088267
339.5,-5.76E-05
340,0.0005947821774
340.5,0.0001109636505
341,0.0001847664244
341.5,2.82E-05
342,0.000484700111
342.5,-0.0004314320104
343,0.0003152934369
343.5,0.0002222114708
344,-6.90E-05
344.5,0.0005056161317
345,8.67E-05
345.5,0.0004314303224
346,0.0004243632138
346.5,-0.0004091878945
347,-0.000476881396
347.5,0.0003902296303
348,0.0002359232021
348.5,0.0001256623946
349,0.0004021353961
349.5,6.96E-05
350,1.63E-05
350.5,-0.0001297707786
351,0.0002786137338
351.5,0.0001489646675
352,0.0001253327791
352.5,5.72E-05
353,-6.79E-05
353.5,0.0002546671312
354,-0.0001122840331
354.5,-0.0003206309339
355,0.0001119930093
355.5,9.35E-05
356,-2.96E-05
356.5,-4.59E-05
357,-0.0001220123668
357.5,5.73E-06
358,9.34E-05
358.5,0.000278952939
359,0.0002283102949
359.5,-0.0002933936776
360,0.0002772300504
