## Type: dichroic
## Name: Evident FV4000 Primary dichroic
wavelength,transmission
401,0.000497481
402,0.000501182
403,0.000997133
404,0.000924441
405,0.001292377
406,0.00107556
407,0.000934269
408,0.001421759
409,0.000944449
410,0.000692647
411,0.000967868
412,0.002109466
413,0.013594964
414,0.042225573
415,0.116547961
416,0.202738313
417,0.240938243
418,0.252935423
419,0.258431007
420,0.276499023
421,0.566596922
422,0.561298656
423,0.758270269
424,0.956694169
425,0.975332452
426,0.97710465
427,0.97909404
428,0.983900582
429,0.987424943
430,0.987691263
431,0.986838754
432,0.986556025
433,0.987929377
434,0.989177227
435,0.988253358
436,0.98835126
437,0.988596358
438,0.98609306
439,0.984881029
440,0.985410538
441,0.98612179
442,0.989772396
443,0.986897205
444,0.985607024
445,0.984731646
446,0.982768612
447,0.983779261
448,0.983968292
449,0.977307356
450,0.975071427
451,0.970717335
452,0.979039787
453,0.982261558
454,0.983294138
455,0.981441016
456,0.98212419
457,0.981408241
458,0.979349009
459,0.982978655
460,0.986705731
461,0.980504911
462,0.977532651
463,0.979346641
464,0.979148134
465,0.979467132
466,0.981095941
467,0.976842083
468,0.975332626
469,0.97693046
470,0.971842156
471,0.974721541
472,0.960981739
473,0.891157305
474,0.776795381
475,0.706139537
476,0.542243828
477,0.417530069
478,0.270579031
479,0.156366491
480,0.046082065
481,0.001539709
482,0.001638774
483,0.000654726
484,0.00106772
485,0.00073394
486,0.001146123
487,0.000912702
488,0.001396258
489,0.001293904
490,0.000692796
491,0.001220588
492,0.00104977
493,0.001399292
494,0.001292559
495,0.001501468
496,0.006319706
497,0.030335266
498,0.072674577
499,0.626847196
500,0.598753961
501,0.583492534
502,0.504632094
503,0.847620515
504,0.980174149
505,0.975493164
506,0.976361239
507,0.970431382
508,0.969797656
509,0.966541428
510,0.964884089
511,0.968294922
512,0.968458738
513,0.970414035
514,0.972638592
515,0.976423425
516,0.985386248
517,0.985735827
518,0.980416939
519,0.977548537
520,0.977465134
521,0.980743554
522,0.982589744
523,0.975441347
524,0.971270739
525,0.970111091
526,0.971588853
527,0.970547963
528,0.966526549
529,0.967628054
530,0.969104087
531,0.971686822
532,0.96974391
533,0.964870451
534,0.960131268
535,0.961351412
536,0.967655016
537,0.96674539
538,0.971105793
539,0.971479197
540,0.972657859
541,0.972510166
542,0.973680916
543,0.96811612
544,0.958044935
545,0.949571684
546,0.88182617
547,0.773844877
548,0.628143414
549,0.509492175
550,0.365504634
551,0.264409679
552,0.159398255
553,0.073356285
554,0.013817249
555,0.015653427
556,0.016987034
557,0.003062968
558,0.000909132
559,0.001208371
560,0.001853912
561,0.001797811
562,0.001169709
563,0.001574959
564,0.001742678
565,0.001691782
566,0.001391659
567,0.001559891
568,0.001739275
569,0.002005237
570,0.001714251
571,0.003655335
572,0.085000821
573,0.104984743
574,0.171407053
575,0.693779452
576,0.549243956
577,0.456574062
578,0.545305672
579,0.963559006
580,0.960592764
581,0.966435204
582,0.967456575
583,0.973020771
584,0.972535763
585,0.969633539
586,0.972804864
587,0.968530248
588,0.968196136
589,0.973169639
590,0.970591661
591,0.972521259
592,0.974991327
593,0.975925756
594,0.978577921
595,0.978911282
596,0.976479941
597,0.96542921
598,0.967997119
599,0.966497553
600,0.961379808
601,0.971030863
602,0.969732013
603,0.966925086
604,0.967327941
605,0.965203008
606,0.959861748
607,0.97350316
608,0.971611587
609,0.971299373
610,0.966827029
611,0.961180349
612,0.959528779
613,0.968053878
614,0.965092548
615,0.96859807
616,0.971159079
617,0.965711997
618,0.967320039
619,0.952265317
620,0.936264175
621,0.836826264
622,0.803073374
623,0.651529301
624,0.556012343
625,0.466283914
626,0.304496329
627,0.238781578
628,0.120850745
629,0.083622289
630,0.056770835
631,0.011243901
632,0.001405694
633,0.00120905
634,0.001405949
635,0.002011943
636,0.001074847
637,0.001156996
638,0.001755642
639,0.000598776
