#Type: Filter
#Name: FF01-550/49 AHF F37-551
wavelength,transmission
346,4.6175E-07
346.2,3.6172E-07
346.4,2.8337E-07
346.6,2.2198E-07
346.8,1.7389E-07
347,1.3622E-07
347.2,1.0671E-07
347.4,8.3597E-08
347.6,6.5488E-08
347.8,5.1302E-08
348,4.0188E-08
348.2,3.1483E-08
348.4,2.9359E-08
348.6,2.9398E-08
348.8,2.9438E-08
349,2.9477E-08
349.2,2.9517E-08
349.4,2.9556E-08
349.6,2.9596E-08
349.8,2.9636E-08
350,2.9676E-08
350.2,2.9716E-08
350.4,2.9756E-08
350.6,2.9795E-08
350.8,2.9836E-08
351,2.9886E-08
351.2,2.9991E-08
351.4,3.0096E-08
351.6,3.0202E-08
351.8,3.0308E-08
352,3.0414E-08
352.2,3.0521E-08
352.4,3.0628E-08
352.6,3.0735E-08
352.8,3.0843E-08
353,3.0952E-08
353.2,3.106E-08
353.4,3.1169E-08
353.6,3.1279E-08
353.8,3.1388E-08
354,3.1499E-08
354.2,3.1609E-08
354.4,3.172E-08
354.6,3.1831E-08
354.8,3.1897E-08
355,3.196E-08
355.2,3.2023E-08
355.4,3.2086E-08
355.6,3.215E-08
355.8,3.2213E-08
356,3.2276E-08
356.2,3.234E-08
356.4,3.2404E-08
356.6,3.2468E-08
356.8,3.2532E-08
357,3.2596E-08
357.2,3.266E-08
357.4,3.2724E-08
357.6,3.2789E-08
357.8,3.2853E-08
358,3.2918E-08
358.2,3.2983E-08
358.4,3.3044E-08
358.6,3.3104E-08
358.8,3.3165E-08
359,3.3225E-08
359.2,3.3285E-08
359.4,3.3346E-08
359.6,3.3406E-08
359.8,3.3467E-08
360,3.3528E-08
360.2,3.3589E-08
360.4,3.365E-08
360.6,3.3711E-08
360.8,3.3772E-08
361,3.4617E-08
361.2,4.0014E-08
361.4,4.6252E-08
361.6,5.3463E-08
361.8,6.1798E-08
362,7.1432E-08
362.2,8.2569E-08
362.4,9.5441E-08
362.6,1.1032E-07
362.8,1.2752E-07
363,1.474E-07
363.2,1.7038E-07
363.4,1.9694E-07
363.6,2.2765E-07
363.8,2.6314E-07
364,3.0416E-07
364.2,3.5158E-07
364.4,4.064E-07
364.6,4.6976E-07
364.8,4.2521E-07
365,3.7786E-07
365.2,3.3579E-07
365.4,2.984E-07
365.6,2.6518E-07
365.8,2.3565E-07
366,2.0941E-07
366.2,1.861E-07
366.4,1.6538E-07
366.6,1.4696E-07
366.8,1.306E-07
367,1.1606E-07
367.2,1.0313E-07
367.4,9.1652E-08
367.6,8.1447E-08
367.8,7.2378E-08
368,6.4319E-08
368.2,5.7158E-08
368.4,5.3172E-08
368.6,5.0468E-08
368.8,4.7901E-08
369,4.5465E-08
369.2,4.3153E-08
369.4,4.0958E-08
369.6,3.8875E-08
369.8,3.6898E-08
370,3.5022E-08
370.2,3.3241E-08
370.4,3.155E-08
370.6,2.9946E-08
370.8,2.8423E-08
371,2.7199E-08
371.2,2.7129E-08
371.4,2.7059E-08
371.6,2.6989E-08
371.8,2.6919E-08
372,2.685E-08
372.2,2.678E-08
372.4,2.6711E-08
372.6,2.6642E-08
372.8,2.6573E-08
373,2.6505E-08
373.2,2.6436E-08
373.4,2.6368E-08
373.6,2.63E-08
373.8,2.9668E-08
374,3.5978E-08
374.2,4.3629E-08
374.4,5.2907E-08
374.6,6.4159E-08
374.8,7.7803E-08
375,9.4349E-08
375.2,1.1441E-07
375.4,1.3874E-07
375.6,1.6825E-07
375.8,2.0403E-07
376,2.4742E-07
376.2,3.0004E-07
