#Type: dichroic
#Name: H 488 LPXR - AHF F48-487PQ
wavelength,transmission
300,0.0117000
301,0.0226000
302,0.0381000
303,0.0573000
304,0.0820000
305,0.1147000
306,0.1476000
307,0.1710000
308,0.1844000
309,0.1958000
310,0.2090000
311,0.2169000
312,0.2202000
313,0.2211000
314,0.2282000
315,0.2553000
316,0.2831000
317,0.3151000
318,0.3276000
319,0.3355000
320,0.3354000
321,0.3262000
322,0.3208000
323,0.3068000
324,0.3068000
325,0.3008000
326,0.3145000
327,0.3229000
328,0.3083000
329,0.3026000
330,0.2937000
331,0.2843000
332,0.2828000
333,0.2772000
334,0.2785000
335,0.2768000
336,0.2639000
337,0.2519000
338,0.2116000
339,0.1950000
340,0.1574000
341,0.0803000
342,0.0483000
343,0.0314000
344,0.0067000
345,0.0004000
346,0.0003000
347,0.0016000
348,0.0058000
349,0.0127000
350,0.0165000
351,0.0107000
352,0.0034000
353,0.0010000
354,0.0034000
355,0.0077000
356,0.0100000
357,0.0085000
358,0.0071000
359,0.0079000
360,0.0082000
361,0.0078000
362,0.0085000
363,0.0103000
364,0.0115000
365,0.0125000
366,0.0139000
367,0.0152000
368,0.0155000
369,0.0148000
370,0.0138000
371,0.0129000
372,0.0124000
373,0.0123000
374,0.0117000
375,0.0108000
376,0.0101000
377,0.0089000
378,0.0073000
379,0.0062000
380,0.0051000
381,0.0040000
382,0.0034000
383,0.0035000
384,0.0032000
385,0.0025000
386,0.0025000
387,0.0030000
388,0.0033000
389,0.0030000
390,0.0029000
391,0.0035000
392,0.0040000
393,0.0041000
394,0.0039000
395,0.0047000
396,0.0060000
397,0.0065000
398,0.0068000
399,0.0086000
400,0.0121000
401,0.0148000
402,0.0148000
403,0.0127000
404,0.0113000
405,0.0121000
406,0.0134000
407,0.0131000
408,0.0101000
409,0.0066000
410,0.0053000
411,0.0060000
412,0.0066000
413,0.0060000
414,0.0044000
415,0.0035000
416,0.0038000
417,0.0044000
418,0.0044000
419,0.0037000
420,0.0033000
421,0.0040000
422,0.0053000
423,0.0059000
424,0.0056000
425,0.0051000
426,0.0064000
427,0.0109000
428,0.0159000
429,0.0182000
430,0.0174000
431,0.0149000
432,0.0135000
433,0.0153000
434,0.0198000
435,0.0244000
436,0.0261000
437,0.0231000
438,0.0169000
439,0.0118000
440,0.0098000
441,0.0094000
442,0.0090000
443,0.0076000
444,0.0054000
445,0.0039000
446,0.0040000
447,0.0047000
448,0.0051000
449,0.0046000
450,0.0035000
451,0.0025000
452,0.0024000
453,0.0033000
454,0.0043000
455,0.0046000
456,0.0042000
457,0.0033000
458,0.0026000
459,0.0030000
460,0.0040000
461,0.0049000
462,0.0050000
463,0.0044000
464,0.0033000
465,0.0027000
466,0.0035000
467,0.0051000
468,0.0064000
469,0.0068000
470,0.0062000
471,0.0051000
472,0.0047000
473,0.0066000
474,0.0100000
475,0.0124000
476,0.0125000
477,0.0107000
478,0.0082000
479,0.0060000
480,0.0050000
481,0.0048000
482,0.0049000
483,0.0050000
484,0.0051000
485,0.0052000
486,0.0053000
487,0.0054000
488,0.0057000
489,0.0065000
490,0.0084000
491,0.0133000
492,0.0243000
493,0.0481000
494,0.0891000
495,0.1491000
496,0.2247000
497,0.3132000
498,0.4094000
499,0.5110000
500,0.6192000
501,0.7272000
502,0.8261000
503,0.9017000
504,0.9447000
505,0.9633000
506,0.9716000
507,0.9746000
508,0.9786000
509,0.9817000
510,0.9835000
511,0.9849000
512,0.9843000
513,0.9861000
514,0.9858000
515,0.9848000
516,0.9856000
517,0.9860000
518,0.9848000
519,0.9871000
520,0.9863000
521,0.9878000
522,0.9880000
523,0.9863000
524,0.9870000
525,0.9856000
526,0.9854000
527,0.9864000
528,0.9863000
529,0.9863000
530,0.9862000
531,0.9851000
532,0.9850000
533,0.9848000
534,0.9845000
535,0.9852000
536,0.9853000
537,0.9843000
538,0.9848000
539,0.9834000
540,0.9835000
541,0.9847000
542,0.9835000
543,0.9844000
544,0.9837000
545,0.9832000
