#Type: dichroic
#Name: H 560 LPXR AHF F38-559PQ
wavelength,transmission
300,0.0000000
301,0.0000000
302,0.0000000
303,0.0000000
304,0.0000000
305,0.0000000
306,0.0000000
307,0.0000000
308,0.0000000
309,0.0100000
310,0.0100000
311,0.0200000
312,0.0200000
313,0.0200000
314,0.0300000
315,0.0400000
316,0.0500000
317,0.0500000
318,0.0500000
319,0.0400000
320,0.0300000
321,0.0300000
322,0.0300000
323,0.0300000
324,0.0300000
325,0.0300000
326,0.0300000
327,0.0300000
328,0.0200000
329,0.0200000
330,0.0100000
331,0.0100000
332,0.0100000
333,0.0100000
334,0.0100000
335,0.0100000
336,0.0100000
337,0.0100000
338,0.0100000
339,0.0100000
340,0.0100000
341,0.0000000
342,0.0000000
343,0.0000000
344,0.0000000
345,0.0000000
346,0.0000000
347,0.0000000
348,0.0000000
349,0.0000000
350,0.0000000
351,0.0000000
352,0.0000000
353,0.0000000
354,0.0000000
355,0.0000000
356,0.0000000
357,0.0000000
358,0.0000000
359,0.0000000
360,0.0100000
361,0.0100000
362,0.0100000
363,0.0100000
364,0.0100000
365,0.0000000
366,0.0000000
367,0.0000000
368,0.0000000
369,0.0000000
370,0.0000000
371,0.0000000
372,0.0000000
373,0.0000000
374,0.0000000
375,0.0000000
376,0.0000000
377,0.0000000
378,0.0000000
379,0.0000000
380,0.0000000
381,0.0000000
382,0.0000000
383,0.0000000
384,0.0000000
385,0.0000000
386,0.0000000
387,0.0000000
388,0.0000000
389,0.0000000
390,0.0000000
391,0.0000000
392,0.0000000
393,0.0000000
394,0.0000000
395,0.0000000
396,0.0000000
397,0.0000000
398,0.0000000
399,0.0000000
400,0.0000000
401,0.0000000
402,0.0000000
403,0.0000000
404,0.0000000
405,0.0000000
406,0.0000000
407,0.0000000
408,0.0100000
409,0.0100000
410,0.0100000
411,0.0100000
412,0.0100000
413,0.0100000
414,0.0100000
415,0.0100000
416,0.0100000
417,0.0100000
418,0.0100000
419,0.0100000
420,0.0100000
421,0.0100000
422,0.0100000
423,0.0100000
424,0.0100000
