#Type: filter
#Name: H 690/70 AHF F49-691
wavelength,transmission
300,9,38839E-07
301,1,4917E-07
302,1,13675E-06
303,0,00000001
304,0,00000001
305,7,5938E-07
306,7,16183E-07
307,1,00748E-06
308,1,20746E-07
309,0,00000001
310,3,66416E-07
311,5,83436E-07
312,0,00000001
313,1,57475E-06
314,0,00000001
315,4,43777E-07
316,0,00000001
317,5,78366E-07
318,1,80645E-06
319,1,08087E-07
320,1,4174E-06
321,1,22942E-06
322,1,42638E-06
323,2,44236E-06
324,1,34222E-06
325,1,91268E-06
326,3,98516E-07
327,1,27581E-06
328,1,0699E-06
329,1,99317E-06
330,9,85158E-07
331,8,35882E-07
332,1,88102E-06
333,2,03385E-06
334,0,00000001
335,2,69268E-06
336,5,55961E-07
337,2,35238E-06
338,4,14007E-08
339,1,78807E-06
340,1,14563E-06
341,1,87939E-06
342,1,87098E-06
343,9,77048E-07
344,3,30381E-06
345,6,50555E-06
346,1,17853E-06
347,2,42831E-06
348,1,59776E-06
349,8,69523E-07
350,1,90556E-06
351,0,00000001
352,0,00000001
353,2,41988E-07
354,0,00000001
355,0,00000001
356,1,59404E-06
357,0,00000001
358,1,29147E-06
359,5,18958E-07
360,1,87292E-06
361,0,00000001
362,0,00000001
363,9,58754E-07
364,1,24142E-06
365,6,05121E-07
366,0,00000001
367,2,02548E-07
368,0,00000001
369,5,84094E-07
370,0,00000001
371,0,00000001
372,0,00000001
373,3,74374E-08
374,0,00000001
375,0,00000001
376,0,00000001
377,0,00000001
378,0,00000001
379,0,00000001
380,1,37788E-06
381,1,97263E-06
382,1,41064E-06
383,1,11626E-06
384,1,68365E-06
385,2,66053E-06
386,1,95397E-06
387,8,30805E-07
388,2,19961E-06
389,2,77206E-06
390,2,94381E-06
391,0,000001691
392,1,54323E-06
393,1,45161E-06
394,7,70785E-07
395,1,00716E-06
396,1,47171E-06
397,7,63083E-07
398,8,37539E-07
399,1,50025E-06
400,1,71507E-06
401,1,93797E-06
402,1,41572E-06
403,1,18725E-06
404,1,42153E-06
405,4,6067E-07
406,1,62526E-06
407,1,37596E-06
408,1,66043E-06
409,7,406E-07
410,8,37759E-07
411,9,33493E-07
412,1,27741E-06
413,1,49002E-06
414,1,5947E-06
415,1,33929E-06
416,5,57141E-07
417,8,46229E-07
418,1,40119E-06
419,9,53165E-07
420,1,31275E-06
421,1,88575E-06
422,1,04572E-07
423,0,00000001
424,9,14943E-07
425,7,37008E-07
426,9,37055E-07
427,9,26937E-07
428,1,02832E-06
429,8,58885E-07
430,3,1968E-07
431,1,44813E-06
432,2,0759E-06
433,1,42509E-06
434,1,21087E-06
435,0,00000149
436,1,27319E-06
437,7,778E-07
438,6,51099E-08
439,1,30037E-06
440,6,8754E-07
441,4,32382E-07
442,8,20425E-07
443,8,62927E-07
444,6,73905E-07
445,1,79945E-06
446,1,35016E-06
447,1,86357E-06
448,2,6345E-06
449,1,53803E-06
450,1,76684E-06
451,2,39426E-06
452,1,81023E-06
453,2,30917E-06
454,2,05367E-06
455,1,1437E-06
456,1,78726E-06
457,2,02223E-06
458,1,50283E-06
459,1,49825E-06
460,1,15958E-06
461,1,11802E-06
462,8,80852E-07
463,1,12625E-06
464,5,60459E-07
465,7,61069E-07
466,3,18999E-07
467,1,92701E-07
468,7,7377E-07
469,2,30567E-07
470,0,00000001
471,0,00000001
472,2,71254E-07
473,0,00000001
474,3,3759E-07
475,0,00000001
476,0,00000001
477,0,00000001
478,2,13617E-06
479,1,9626E-06
480,0,00000001
481,2,99744E-07
482,2,44583E-06
483,2,14413E-06
484,1,83124E-06
485,1,34883E-06
486,2,0056E-06
487,1,84298E-06
488,2,40019E-06
489,1,63161E-06
490,2,30839E-06
491,2,12601E-06
492,2,16165E-06
493,2,41016E-06
494,3,06762E-06
495,2,25071E-06
496,2,03333E-06
497,1,99106E-06
498,1,96382E-06
499,1,35645E-06
500,1,05513E-06
501,6,69118E-07
502,9,49563E-07
503,6,00107E-07
504,6,4316E-07
505,0,00000001
506,0,00000001
507,2,05536E-07
508,0,00000001
509,0,00000001
510,0,00000001
511,0,00000001
512,0,00000001
513,3,5717E-07
514,2,95218E-08
515,3,05462E-08
516,4,36888E-07
517,0,00000001
518,3,96453E-07
519,2,11113E-07
520,0,00000001
521,4,56042E-07
522,5,92411E-07
523,0,00000001
524,4,98149E-07
525,1,26253E-06
526,0,00000001
527,4,76941E-07
528,8,3945E-07
529,3,90204E-07
530,1,28064E-06
531,6,82001E-07
532,4,93127E-07
533,1,51172E-06
534,1,73004E-06
535,3,24483E-07
536,5,53595E-07
537,0,000001547
538,5,0543E-07
539,3,99288E-07
540,3,43863E-07
541,8,56422E-07
542,0,00000001
543,0,00000001
544,1,03963E-06
545,1,49483E-06
546,1,12205E-06
547,5,33282E-07
548,6,19318E-07
