#Type: filter
#Name: FF02-482-35_LSWP_HC_01 - AHF/Semrock
wavelength,transmission
265,3.16532407559397E-07
265.236,3.1704465917156E-07
268.972,2.59174549925984E-08
270,1.785276904434E-08
272.407,1.03085031826247E-08
275.718,7.65278789149838E-08
279.027,1.71661817535398E-07
282.336,8.60661515428779E-08
285,2.95684491072632E-08
287.906,2.75326723263633E-09
292.569,2.27405257017226E-09
295,3.74235930162496E-09
295.721,3.00017111903662E-09
300.384,2.3576355111744E-09
305,1.99519611811748E-08
306.535,1.18997138470112E-08
311.2,1.58373624174887E-08
315.862,1.86670270964209E-09
320.522,8.34498635775046E-09
325.179,1.63021461154969E-09
329.834,8.29280104685454E-09
334.486,1.65701322126409E-09
335,7.80597881222775E-07
337.026,7.42793089347265E-07
341.683,7.09429667945703E-07
346.337,7.26105675674525E-07
350.989,7.62295223776668E-07
355.638,7.8266253638445E-07
360.285,7.74875691103762E-07
364.929,9.41679517027523E-07
365,4.57356441744148E-06
365.062,4.56945141983127E-06
365.232,5.04197595081944E-06
365.401,4.66310032394366E-06
365.57,5.00627758390652E-06
365.739,4.87380205938559E-06
365.909,5.32119812713299E-06
366.078,4.89701586790906E-06
366.247,4.64739777870482E-06
366.417,5.01388931850835E-06
366.586,4.3158440125857E-06
366.755,4.49242339010117E-06
366.924,5.40968368801175E-06
367.094,4.32549180649124E-06
367.263,4.91659319096645E-06
367.432,4.96182029392989E-06
367.602,4.95944725098611E-06
367.771,4.6919595161597E-06
367.94,5.26142481220089E-06
368.109,4.80257893168652E-06
368.279,4.70157818149627E-06
368.448,5.11170546529873E-06
368.617,5.26951180176575E-06
368.786,4.56776003608296E-06
368.956,4.65019912121127E-06
369.125,4.85738278751008E-06
369.294,4.47749617948932E-06
372.618,7.94729484363028E-08
376.169,9.84199181638808E-08
382.617,4.57180475050971E-08
387.783,4.35102076745759E-08
392.703,4.24697854378634E-08
396.081,4.88607068992367E-08
401.01,5.50583886690748E-08
406.164,8.09646347063295E-08
412.627,6.8667198890353E-08
416.17,9.89796011806493E-08
422.625,9.00539384045719E-08
426.166,7.15593233971102E-08
432.624,1.62557819136884E-07
436.163,2.09800373124599E-07
439.454,2.86085617382489E-07
439.622,1.2215102322281E-07
439.791,4.06255437829927E-08
439.959,1.21638910239069E-07
440.128,4.05412863898287E-08
440.296,4.04522751364739E-08
440.464,4.04035014144449E-08
440.633,8.08231707287342E-08
440.753,4.05313495234307E-08
440.922,1.61695144418962E-07
441.09,1.61210402493167E-07
441.259,4.01938943500756E-08
441.427,1.20038452560993E-07
441.596,7.97360457243213E-08
441.764,3.18165749362508E-07
441.933,3.97925527702821E-08
442.052,3.98283465081332E-08
442.22,3.96905072134392E-08
442.389,3.94801885512427E-08
442.557,3.93663636455353E-08
442.726,1.17763329301167E-07
442.894,1.17588961333637E-07
443.063,3.92471213229169E-08
443.231,1.18146815083997E-07
443.351,3.95495549497253E-08
443.519,3.95549119014456E-08
443.687,3.94468540155977E-08
443.856,3.93613718366741E-08
444.024,3.91993486369428E-08
444.193,1.94974830148599E-07
444.361,3.89047675148742E-08
444.53,4.05637882045531E-08
444.616,1.79691915863732E-07
444.869,9.64023632491683E-08
445.121,1.90991538293618E-07
445.374,4.74042366522999E-08
445.626,4.69903918604819E-08
445.879,4.68105392246703E-08
445.915,1.40303765014656E-07
446.167,2.32106940484353E-07
446.42,1.84309850654147E-07
446.672,4.60432531976152E-08
446.925,1.37953049771356E-07
447.178,4.63816515890716E-08
447.212,2.78263787751238E-07
447.465,4.64774325638595E-08
447.717,9.2205124451977E-08
447.97,4.58259893921868E-08
448.223,1.36588702233067E-07
448.475,4.55320145242746E-08
448.51,1.3651767906647E-07
448.762,4.53997515970071E-08
449.015,4.51276791884252E-08
449.267,8.95504290942907E-08
449.52,1.33552438646101E-07
449.773,8.84941649475015E-08
449.817,1.32697799152972E-07
450.07,4.38029900837103E-08
450.322,1.2935585290757E-07
450.575,2.56930238402645E-07
450.827,2.56559212748984E-07
451.08,4.29215026869079E-08
451.114,8.58058023591151E-08
451.367,4.29188090043274E-08
451.619,1.27643742102825E-07
451.872,4.22449881906294E-08
452.124,4.18776919165084E-08
452.377,8.29966169297511E-08
452.453,3.11055221326345E-07
452.621,2.47903517805461E-07
452.79,6.16678196641698E-08
452.958,6.15574685866312E-08
453.126,3.07319940267152E-07
453.295,6.1488190033317E-08
453.463,3.68402207101594E-07
453.631,1.85018083869591E-07
453.717,1.64747584275843E-07
453.969,4.12337466940732E-08
454.222,2.05190750975045E-07
454.474,5.32577919756069E-07
454.727,8.19846500852294E-08
454.979,4.12157943353496E-08
455.056,3.09367701209704E-07
455.224,1.85564266288737E-07
455.392,3.69506805118423E-07
455.56,2.45641766877964E-07
455.729,6.124048758723E-08
455.897,4.88577751901537E-07
456.065,3.65394473780906E-07
456.234,7.88656149257234E-07
456.352,6.65780167523477E-07
456.52,7.23955277482131E-07
456.689,1.08331424597276E-06
456.857,1.38448132182843E-06
457.025,1.43935415055191E-06
457.193,2.21841416932965E-06
457.362,3.71454524057791E-06
457.53,5.28915494100989E-06
457.657,7.8373141789405E-06
457.826,1.04360061405242E-05
457.994,1.60180429370562E-05
458.162,2.43792902929803E-05
458.33,3.5265336006812E-05
458.499,5.10157093643992E-05
458.667,7.08465377166106E-05
458.835,9.87920624469487E-05
458.9,0.00012010580011089
458.912,0.000122074614353788
458.996,0.000143131005109562
459.08,0.000167480291331751
459.164,0.000197271091934347
459.248,0.000230537279989729
459.332,0.000282810149160135
459.416,0.000343940467451219
459.501,0.00042464192940775
459.585,0.000528713103665609
459.669,0.000659783771065767
459.753,0.000840812117242275
459.837,0.00108427954269322
459.921,0.00141509676018817
460.005,0.00187610351505103
460.089,0.00250161004370946
460.174,0.00335682155789659
460.2,0.00413620802177165
460.218,0.00477066766058633
460.302,0.00604934896474831
460.386,0.00774397973887584
460.47,0.0100017132576073
460.554,0.0129426947556506
460.638,0.0168699868611329
460.722,0.0221601302688744
460.807,0.0290038823458762
460.891,0.0381084883579629
460.975,0.0502167779672063
461.059,0.0666936587012514
461.143,0.0891200874370275
461.227,0.120406101692577
461.311,0.163902500472017
461.396,0.224513811636194
461.48,0.307466868741956
461.5,0.333410371762319
461.547,0.399154477688548
461.631,0.524453182403608
461.715,0.661059411598887
461.799,0.789966973529592
461.882,0.88845269376415
461.966,0.942479680451254
462.05,0.967382120695123
462.134,0.976486276407039
462.218,0.974948782716463
462.302,0.970164090922191
462.386,0.967219162972996
462.47,0.964626276583142
462.554,0.964969764933412
462.638,0.967008646702321
462.721,0.969831957227066
462.805,0.972793723915616
462.889,0.975142247786792
462.973,0.977345398635764
463.057,0.978198640850454
463.141,0.979033463431198
463.225,0.979548941712661
463.309,0.979696127340039
463.393,0.979529933788859
463.476,0.979125444028658
463.56,0.979840250707521
463.644,0.979157321772306
463.728,0.978596944612024
463.812,0.978737016771183
463.896,0.978797356660256
463.98,0.978342367856278
464.064,0.978136629581513
464.148,0.978202139411197
464.231,0.97871314718895
464.315,0.979335440760865
464.399,0.97964981537691
464.483,0.980678460896789
464.567,0.982568060533521
464.651,0.983183538289835
464.735,0.984659389125423
464.819,0.985649028665437
464.902,0.987138185194203
464.986,0.988228709842046
465.07,0.988780016157324
465.154,0.989718993690482
465.238,0.989694601861531
465.322,0.989620292715183
465.406,0.989461660399913
465.489,0.990527911628537
465.573,0.989686424203453
465.657,0.989092467996183
465.741,0.989074519620765
465.825,0.989284279459191
465.909,0.988892019930246
465.993,0.988985996508083
466.076,0.988880489578708
466.16,0.988266218995135
466.244,0.9883135423129
466.328,0.986858044777344
466.412,0.985424069903463
466.496,0.984654142622901
466.58,0.983426445264743
466.663,0.981861412939477
466.747,0.981111076173813
466.831,0.978955281647416
466.915,0.978286368720534
466.999,0.978024463778852
467.083,0.977718469567874
467.166,0.977255524986628
467.25,0.977575774489217
467.334,0.978795243440383
467.418,0.978990795067426
467.502,0.980430097983064
467.586,0.981325224155599
467.669,0.98283778150718
467.753,0.983455821601331
467.837,0.984106168555181
467.921,0.985175915339996
468,0.980687224791176
468.065,0.976084321723532
468.15,0.9771348932031
468.234,0.978162035525716
468.318,0.97876037158497
468.402,0.979647750818907
468.486,0.980070165576398
468.57,0.981615138506654
468.654,0.982150243747123
468.738,0.98328183936773
468.822,0.984006218247674
468.906,0.984829423643809
468.99,0.985041769630856
469.074,0.985269672010637
469.158,0.984705322093791
469.242,0.984048629337419
469.326,0.983994392822165
469.411,0.982755932552049
469.495,0.980735183756488
469.579,0.979656038347739
469.663,0.977692321230107
469.747,0.976033312092739
469.831,0.974775522131595
469.915,0.973683432010181
469.999,0.973269225738
470.083,0.9728166225309
470.167,0.973017109787545
470.251,0.973436328556723
470.335,0.974018229023763
470.419,0.975392553320068
470.503,0.977284181724755
470.587,0.97849572220716
470.671,0.981094458918686
470.755,0.981774580328142
470.839,0.983193112029762
470.923,0.984777070781757
471.007,0.98399644792306
471.091,0.984365533088062
471.176,0.984805563648961
471.26,0.984764257498741
471.344,0.984157463513675
471.428,0.983275270107098
471.512,0.982817477152288
471.596,0.980998431632095
471.68,0.980777171694955
471.764,0.97988302754913
471.848,0.9796893053919
471.932,0.979189670983844
472.016,0.978110140623137
472.1,0.978598809842129
472.184,0.979052155430291
472.268,0.978868138670991
472.352,0.978168794488449
472.436,0.977887119113558
472.52,0.97807031676046
472.604,0.97732348984855
472.688,0.976904234615515
472.772,0.976871851365684
472.856,0.97651389912133
472.94,0.97608564780238
473.024,0.976105405387707
473.108,0.975917020055089
473.192,0.976801275921903
473.276,0.977385184925914
473.36,0.978726894361502
473.444,0.979379955522576
473.528,0.980895929506855
473.612,0.981974617067806
473.696,0.983077436676014
473.78,0.983938008159651
473.864,0.98433276716389
473.948,0.985149066002852
474.032,0.985757323841051
474.116,0.984921123025747
474.2,0.984755213930897
474.284,0.98304921940036
474.368,0.981768958618166
474.452,0.979441535848181
474.536,0.976696590838135
474.62,0.974457397247198
474.704,0.970501509952126
474.788,0.968226106378784
474.872,0.965727946903073
474.956,0.963595006041333
475.04,0.962390243069286
475.124,0.961790685435901
475.208,0.961298207902792
475.292,0.962401448839105
475.376,0.962954996944019
475.46,0.964033414387143
475.544,0.965995245763389
475.628,0.967699283860105
475.712,0.969651749610727
475.796,0.971971764030591
475.88,0.974598418471932
475.964,0.976564290398234
476.048,0.977510215169422
476.132,0.97865174883954
476.216,0.979267039098921
476.3,0.979924151751094
476.384,0.979692373283448
476.468,0.980188196416086
476.552,0.980193629538557
476.636,0.97969424714804
476.72,0.979616161541649
476.804,0.979322157360744
476.888,0.97983716480982
