#Type: filter
#Name: HC 520/35 AHF F37-520
wavelength,transmission
270,2,9833E-06
270,2,3,1675E-06
270,4,3,3631E-06
270,6,3,5708E-06
270,8,3,7912E-06
271,4,0253E-06
271,2,4,2739E-06
271,4,4,5377E-06
271,6,4,8179E-06
271,8,5,1154E-06
272,5,4313E-06
272,2,5,7666E-06
272,4,6,1227E-06
272,6,6,5007E-06
272,8,6,5004E-06
273,6,2557E-06
273,2,6,0202E-06
273,4,5,7935E-06
273.6,5.5754E-06
273.8,5.3655E-06
274,5.1635E-06
274.2,4.9691E-06
274.4,0.000004782
274.6,0.000004602
274.8,4.4287E-06
275,0.000004262
275.2,4.6047E-06
275.4,0.000004975
275.6,5.3751E-06
275.8,5.8074E-06
276,6.2744E-06
276.2,0.000006779
276.4,7.3242E-06
276.6,7.9132E-06
276.8,8.5495E-06
277,9.2371E-06
277.2,0.00000998
277.4,0.000010783
277.6,0.00001165
277.8,0.000010889
278,9.5516E-06
278.2,8.3783E-06
278.4,7.3491E-06
278.6,6.4463E-06
278.8,5.6544E-06
279,4.9598E-06
279.2,4.3505E-06
279.4,3.8161E-06
279.6,3.3473E-06
279.8,2.9361E-06
280,2.5755E-06
280.2,2.2591E-06
280.4,1.9816E-06
280.6,1.7382E-06
280.8,1.5246E-06
281,1.3373E-06
281.2,1.1731E-06
281.4,0.000001029
281.6,9.0256E-07
281.8,8.6817E-07
282,8.5336E-07
282.2,8.3879E-07
282.4,8.2447E-07
282.6,8.104E-07
282.8,7.9657E-07
283,7.8297E-07
283.2,7.6961E-07
283.4,7.5647E-07
283.6,7.4356E-07
283.8,7.3087E-07
284,7.184E-07
284.2,7.0613E-07
284.4,6.9408E-07
284.6,6.8224E-07
284.8,6.7059E-07
285,6.5915E-07
285.2,6.4789E-07
285.4,6.3684E-07
285.6,6.2597E-07
285.8,6.1535E-07
286,6.0492E-07
286.2,5.9467E-07
286.4,5.8459E-07
286.6,5.7468E-07
286.8,5.6494E-07
287,5.5537E-07
287.2,5.4595E-07
287.4,5.367E-07
287.6,5.276E-07
287.8,5.1866E-07
288,5.0987E-07
288.2,5.0123E-07
288.4,4.9273E-07
288.6,4.8438E-07
288.8,4.7617E-07
289,4.681E-07
289.2,4.6016E-07
289.4,4.5237E-07
289.6,4.462E-07
289.8,4.6204E-07
290,4.7845E-07
290.2,4.9543E-07
290.4,5.1302E-07
290.6,5.3124E-07
290.8,5.501E-07
291,5.6963E-07
291.2,5.8985E-07
291.4,6.1079E-07
291.6,6.3248E-07
291.8,6.5493E-07
292,6.7818E-07
292.2,7.0226E-07
292.4,7.2719E-07
292.6,7.5301E-07
292.8,7.7974E-07
293,8.0742E-07
293.2,8.3609E-07
293.4,8.6577E-07
293.6,8.6997E-07
293.8,7.7801E-07
294,6.9576E-07
294.2,6.2222E-07
294.4,5.5644E-07
294.6,4.9762E-07
294.8,4.4502E-07
295,3.9798E-07
295.2,2.513E-07
295.4,1.5868E-07
295.6,1.2101E-07
295.8,1.2639E-07
296,1.3201E-07
296.2,1.3788E-07
296.4,0.000000144
296.6,1.5041E-07
296.8,1.5709E-07
297,1.6407E-07
297.2,1.7137E-07
297.4,1.7899E-07
297.6,1.8694E-07
297.8,1.9525E-07
298,2.0393E-07
298.2,0.000000213
298.4,2.2246E-07
298.6,2.3235E-07
298.8,2.4268E-07
299,2.5347E-07
299.2,2.6474E-07
299.4,2.7651E-07
299.6,2.8734E-07
299.8,2.8376E-07
300,2.8022E-07
300.2,2.7673E-07
300.4,2.7328E-07
300.6,2.6987E-07
300.8,2.6651E-07
301,2.6318E-07
301.2,2.599E-07
301.4,2.5666E-07
301.6,2.5346E-07
301.8,2.503E-07
302,2.4718E-07
302.2,2.441E-07
302.4,2.4106E-07
302.6,2.3805E-07
302.8,2.3508E-07
303,2.3215E-07
303.2,2.2926E-07
303.4,2.264E-07
303.6,2.2358E-07
303.8,2.5643E-07
304,3.0461E-07
304.2,3.6185E-07
304.4,4.2985E-07
304.6,5.1062E-07
304.8,6.0657E-07
305,7.2055E-07
305.2,6.7058E-07
305.4,6.2408E-07
305.6,5.808E-07
305.8,5.4052E-07
306,5.0304E-07
306.2,4.6815E-07
306.4,4.3569E-07
306.6,4.0547E-07
306.8,3.7548E-07
307,3.4339E-07
307.2,3.1404E-07
