## Type: filter
## Name: Zeiss BP 640/30 ex from set 50
wavelength,transmission
619,0.021536736
620,0.08240357
621,0.192670554
622,0.338884801
623,0.575384438
624,0.815705061
625,0.822006047
626,0.831403017
627,0.839335144
628,0.846686244
629,0.847027183
630,0.845977008
631,0.85783416
632,0.86827445
633,0.877725899
634,0.880271018
635,0.881058633
636,0.881626844
637,0.881626844
638,0.881626844
639,0.882225394
640,0.88301301
641,0.884877324
642,0.890128136
643,0.887980163
644,0.873106301
645,0.866805315
646,0.85787797
647,0.83757031
648,0.781428993
649,0.666088939
650,0.57157439
651,0.444443852
652,0.286977708
653,0.127174884
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0.004604089
878,0.009208178
879,0.012752558
880,0.012752558
881,0.012752558
882,0.012752558
883,0.012752558
884,0.012752558
885,0.012752558
886,0.012752558
887,0.012752558
888,0.012752558
889,0.013120277
890,0.015483141
891,0.017846005
892,0.019205458
893,0.01999308
894,0.020687483
895,0.020687483
896,0.020687483
897,0.020687483
898,0.020687483
899,0.027405012
900,0.032589871
901,0.032589871
902,0.033032864
903,0.033820488
904,0.034677118
905,0.037039984
906,0.039402846
907,0.040524796
908,0.040524796
909,0.040538527
910,0.042638853
911,0.045109551
912,0.050360359
913,0.055131067
914,0.058281552
915,0.061432038
916,0.066073649
917,0.071324453
918,0.080023877
919,0.0930143
920,0.107814223
921,0.120416164
922,0.133018106
923,0.145620048
924,0.153816491
925,0.158017144
926,0.158214122
927,0.156113788
928,0.148526371
929,0.139074922
930,0.129384235
931,0.118882619
932,0.111227497
933,0.109127179
934,0.112223297
935,0.122875229
936,0.138627663
937,0.154380083
938,0.187066644
939,0.221524015
940,0.246727899
941,0.271931767
942,0.311217278
943,0.404156506
944,0.499831021
945,0.546463072
946,0.564315856
947,0.577400804
948,0.57425034
949,0.54767108
950,0.477689594
951,0.436733276
952,0.403521389
953,0.387897015
954,0.384746522
955,0.388643622
956,0.395994753
957,0.419772893
958,0.46789214
959,0.524921298
960,0.556412995
961,0.584767401
