## Type: filter
## Name: Zeiss BP 690/50 em from set 50
wavelength,transmission
662,0.007731829
663,0.027475335
664,0.0999365
665,0.231870249
666,0.531246662
667,0.793621778
668,0.886639714
669,0.8929407
670,0.899241686
671,0.904862881
672,0.910113692
673,0.90899384
674,0.905843377
675,0.910909235
676,0.91592896
677,0.920129597
678,0.919597805
679,0.917234957
680,0.916944385
681,0.924820602
682,0.932696819
683,0.936264694
684,0.937839925
685,0.93876493
686,0.936402082
687,0.934039176
688,0.933203876
689,0.933203876
690,0.933606684
691,0.936757147
692,0.93990761
693,0.940658987
694,0.939871371
695,0.938941061
696,0.936578214
697,0.934215307
698,0.936807632
699,0.943108618
700,0.949409604
701,0.953041196
702,0.952005744
703,0.945704818
704,0.940354228
705,0.935036063
706,0.925584614
707,0.914131701
708,0.888927817
709,0.855522573
710,0.817033589
711,0.692489266
712,0.424259245
713,0.279336929
714,0.155345574
715,0.068016268
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0.004717574
1038,0.009435149
1039,0.013453851
1040,0.015816715
1041,0.018179579
1042,0.021155341
1043,0.024305826
1044,0.030257676
1045,0.038543034
1046,0.046827078
1047,0.053478483
1048,0.062929943
1049,0.075065337
1050,0.098869063
1051,0.126173973
1052,0.145309895
1053,0.167363286
1054,0.197116241
1055,0.242617428
1056,0.280674875
1057,0.274142742
1058,0.2615408
1059,0.241591573
1060,0.214641824
1061,0.179061264
1062,0.131803989
1063,0.116033196
1064,0.102612436
1065,0.094554581
1066,0.091404095
1067,0.095711492
1068,0.105162948
1069,0.132328391
1070,0.162791923
1071,0.188576102
1072,0.216930464
1073,0.248198628
1074,0.323736817
1075,0.413722783
1076,0.495262146
1077,0.592927158
1078,0.668221176
1079,0.732764781
1080,0.760076106
1081,0.72895813
1082,0.675399899
1083,0.6245206
1084,0.581560731
1085,0.549676597
1086,0.529723525
1087,0.515349567
1088,0.507998407
1089,0.523908019
1090,0.562273681
1091,0.608756781
1092,0.633960664
1093,0.643685162
1094,0.648935974
1095,0.600171626
1096,0.544513047
1097,0.48466295
1098,0.422477037
1099,0.365506172
1100,0.3130202
1101,0.253160983
1102,0.235669121
1103,0.225071639
1104,0.216670334
1105,0.220211238
1106,0.226512209
1107,0.23572199
1108,0.259816319
1109,0.284946859
1110,0.301615059
1111,0.32366845
1112,0.348513246
1113,0.38951245
1114,0.430660725
1115,0.454389274
1116,0.465941042
1117,0.475652188
1118,0.478802681
1119,0.472593009
1120,0.447612166
1121,0.425558776
1122,0.39839229
1123,0.373517066
1124,0.350541055
1125,0.326498955
1126,0.335950404
1127,0.35759747
1128,0.377394199
1129,0.39209649
1130,0.40285489
1131,0.411256194
1132,0.427396476
1133,0.464356065
1134,0.515562832
1135,0.547067702
1136,0.587636292
1137,0.650635421
1138,0.687026739
1139,0.675294042
1140,0.653240621
1141,0.610860407
1142,0.556319356
1143,0.48376134
1144,0.400549471
1145,0.365894109
1146,0.334025204
1147,0.304489762
