## Type: dichroic
## Name: Zeiss FT 660 dichroic from set 50
wavelength,transmission
369,0.015952244
370,0.046254262
371,0.084911175
372,0.120564684
373,0.164671481
374,0.198113352
375,0.238864467
376,0.276831269
377,0.295518905
378,0.31127131
379,0.319377333
380,0.325678289
381,0.326490164
382,0.31359458
383,0.291541189
384,0.254899502
385,0.22040081
386,0.209589869
387,0.250546187
388,0.291502506
389,0.348656535
390,0.377235621
391,0.365744174
392,0.346841246
393,0.37314105
394,0.469588041
395,0.568016291
396,0.628213048
397,0.675470352
398,0.702454984
399,0.708946884
400,0.709582806
401,0.715735376
402,0.720986187
403,0.725707054
404,0.728857517
405,0.704534888
406,0.636662006
407,0.60830766
408,0.593259513
409,0.599100232
410,0.601566494
411,0.567958534
412,0.504948854
413,0.441939116
414,0.396197855
415,0.385619909
416,0.426483333
417,0.464289159
418,0.487536609
419,0.48390764
420,0.434930474
421,0.315212011
422,0.242382839
423,0.190702438
424,0.160520941
425,0.145818681
426,0.138330027
427,0.135967165
428,0.132859617
429,0.119207516
430,0.106670603
431,0.099319473
432,0.096202746
433,0.103553876
434,0.11425741
435,0.131770536
436,0.160124898
437,0.202347681
438,0.299285501
439,0.404521137
440,0.46623984
441,0.516647577
442,0.553774059
443,0.590268672
444,0.625007629
445,0.653567314
446,0.685072184
447,0.719115853
448,0.742866099
449,0.757568359
450,0.757078648
451,0.748677313
452,0.727361858
453,0.702157974
454,0.661992371
455,0.576929271
456,0.510591984
457,0.437519819
458,0.33365494
459,0.21962516
460,0.184969828
461,0.165332198
462,0.212026238
463,0.27805078
464,0.332161635
465,0.388870388
466,0.410945684
467,0.428709775
468,0.40560624
469,0.376555115
470,0.310394913
471,0.255309492
472,0.207606405
473,0.190733403
474,0.226051435
475,0.295362115
476,0.351416439
477,0.410477579
478,0.447037011
479,0.427332729
480,0.39582786
481,0.344052225
482,0.275325388
483,0.194763452
484,0.111524537
485,0.09577211
486,0.096934661
487,0.124028467
488,0.171285748
489,0.218543038
490,0.275148243
491,0.380136043
492,0.464472324
493,0.50099498
494,0.520948052
495,0.535488725
496,0.538639188
497,0.53223747
498,0.513334572
499,0.513861299
500,0.530663848
501,0.592189848
502,0.66103965
503,0.703855813
504,0.738511145
505,0.764875352
506,0.788132489
507,0.805666864
508,0.815431118
509,0.82803309
